Unnamed: 0,NYJ,STL
First Downs,17,15
Rush-Yds-TDs,41-124-2,20-114-0
Cmp-Att-Yd-TD-INT,16-21-177-1-0,23-44-170-2-1
Sacked-Yards,3-12,1-3
Net Pass Yards,165,167
Total Yards,289,281
Fumbles-Lost,2-0,3-2
Turnovers,0,3
Penalties-Yards,3-20,5-30
Third Down Conv.,7-15,5-16
Fourth Down Conv.,0-1,3-5
Time of Possession,33:03,26:57
