Quarter,Time,Down,ToGo,Location,NYJ,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,STL 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,NYJ 20,0,0,Shonn Greene left guard for 10 yards (tackle by James Laurinaitis),0.280,0.940
1,14:23,1,10,NYJ 30,0,0,Mark Sanchez pass complete short right to Jeremy Kerley for 5 yards (tackle by Kendall Langford),0.940,1.070
1,13:48,2,5,NYJ 35,0,0,Tim Tebow left tackle for 1 yard (tackle by Craig Dahl),1.070,0.500
1,13:28,3,4,NYJ 36,0,0,Mark Sanchez pass complete short right to Chaz Schilens for 8 yards (tackle by Quintin Mikell),0.500,1.860
1,12:47,1,10,NYJ 44,0,0,Shonn Greene right end for 2 yards (tackle by Quintin Mikell),1.860,1.590
1,12:11,2,8,NYJ 46,0,0,Shonn Greene right tackle for 10 yards (tackle by William Hayes),1.590,2.650
1,11:27,1,10,STL 44,0,0,Shonn Greene up the middle for 4 yards (tackle by Eugene Sims),2.650,2.650
1,10:53,2,6,STL 40,0,0,Mark Sanchez pass incomplete short left intended for Stephen Hill,2.650,1.950
1,10:48,3,6,STL 40,0,0,"Mark Sanchez sacked by Quintin Mikell for -7 yards. Mark Sanchez fumbles (forced by Quintin Mikell), recovered by Mark Sanchez at STL-46",1.950,0.200
1,10:23,4,12,STL 46,0,0,"Robert Malone punts 32 yards, fair catch by Danny Amendola",0.200,0.280
1,10:16,1,10,STL 14,0,0,Steven Jackson right guard for 11 yards (tackle by Calvin Pace),-0.280,0.610
1,9:42,1,10,STL 25,0,0,Steven Jackson up the middle for 5 yards (tackle by Sione Pouha),0.610,0.740
1,9:04,2,5,STL 30,0,0,Steven Jackson right guard for 2 yards (tackle by Muhammad Wilkerson and Bart Scott),0.740,0.300
1,8:22,3,3,STL 32,0,0,Sam Bradford pass complete short right to Danny Amendola for 9 yards (tackle by Quinton Coples),0.300,1.660
1,7:37,1,10,STL 41,0,0,Sam Bradford pass complete short right to Mike McNeill for 9 yards (tackle by Antonio Cromartie),1.660,2.340
1,6:55,2,1,,0,0,Sam Bradford pass complete short right to Danny Amendola for -3 yards (tackle by Yeremiah Bell),2.340,1.220
1,6:12,3,4,STL 47,0,0,Sam Bradford pass complete deep left to Austin Pettis for 36 yards (tackle by Yeremiah Bell),1.220,0.000
1,5:32,,,,0,0,Timeout #1 by New York Jets,0.000,4.440
1,5:32,1,10,NYJ 17,0,0,Steven Jackson right tackle for 4 yards (tackle by Quinton Coples),4.440,4.500
1,4:57,2,6,NYJ 13,0,0,Sam Bradford pass complete short left to Danny Amendola for 8 yards (tackle by Yeremiah Bell),4.500,6.060
1,4:31,1,5,NYJ 5,0,0,Steven Jackson right tackle for 4 yards (tackle by Sione Pouha),6.060,5.910
1,4:00,2,1,NYJ 1,0,0,Sam Bradford pass incomplete short middle intended for Brandon Gibson,5.910,5.170
1,3:51,3,1,NYJ 1,0,0,Sam Bradford pass incomplete short right intended for Danny Amendola,5.170,3.550
1,3:48,4,1,NYJ 1,0,6,"Sam Bradford pass complete short middle to Brandon Gibson for 1 yard, touchdown",3.550,7.000
1,3:48,,,NYJ 2,0,6,"Greg Zuerlein kicks extra point good. Penalty on John Hekker: False Start, 5 yards (no play)",0.000,-1.000
1,3:48,,,NYJ 2,0,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,,,,STL 35,,,"Greg Zuerlein kicks off 70 yards, returned by Joe McKnight for 42 yards (tackle by Greg Zuerlein)",,
1,3:37,1,10,NYJ 37,0,7,Mark Sanchez sacked by Chris Long for -3 yards,1.400,0.450
1,3:09,2,13,NYJ 34,0,7,Mark Sanchez pass complete short left to Clyde Gates for 10 yards (tackle by Janoris Jenkins),0.450,1.090
1,2:38,3,3,NYJ 44,0,7,Mark Sanchez pass complete short left to Joe McKnight for 18 yards (tackle by James Laurinaitis),1.090,3.050
1,2:08,1,10,STL 38,0,7,Shonn Greene right tackle for 4 yards (tackle by James Laurinaitis),3.050,3.050
1,1:36,2,6,STL 34,0,7,Shonn Greene up the middle for 1 yard (tackle by Jermelle Cudjo),3.050,2.480
1,0:57,3,5,STL 33,0,7,Mark Sanchez pass incomplete short left intended for Clyde Gates (defended by Janoris Jenkins),2.480,1.170
1,0:49,4,5,STL 33,3,7,Nick Folk 51 yard field goal good,1.170,3.000
1,0:44,,,NYJ 35,3,7,"Nick Folk kicks off 67 yards, returned by Chris Givens for 19 yards (tackle by Chaz Schilens)",0.000,-0.060
1,0:38,1,10,STL 17,3,7,Steven Jackson left guard for 3 yards (tackle by Kenrick Ellis),-0.060,-0.060
Quarter,Time,Down,ToGo,Location,NYJ,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,STL 20,3,7,"Sam Bradford pass complete short right to Lance Kendricks for 17 yards (tackle by Bart Scott). Penalty on Danny Amendola: Illegal Motion, 5 yards (no play)",-0.060,-0.850
2,14:33,2,12,STL 15,3,7,Sam Bradford pass complete short right to Danny Amendola for 2 yards (tackle by LaRon Landry),-0.850,-1.250
2,14:01,3,10,STL 17,3,7,Sam Bradford pass incomplete short right intended for Mike McNeill is intercepted by Eric Smith at STL-18 and returned for 5 yards (tackle by Mike McNeill),-1.250,-4.710
2,13:53,1,10,STL 13,3,7,Shonn Greene left tackle for 1 yard (tackle by Janoris Jenkins and James Laurinaitis),4.710,4.220
2,13:19,2,9,STL 12,3,7,Mark Sanchez sacked by Chris Long for -3 yards,4.220,3.030
2,12:48,3,12,STL 15,3,7,Mark Sanchez pass complete short right to Jeff Cumberland for 7 yards (tackle by Trumaine Johnson),3.030,2.970
