Quarter,Time,Tm,Detail,SFO,CAR
1.0,9:12,49ers,Phil Dawson 49 yard field goal,3,0
,4:33,49ers,Phil Dawson 33 yard field goal,6,0
2.0,13:40,Panthers,Steve Smith Sr. 31 yard pass from Cam Newton (Graham Gano kick),6,7
,3:41,Panthers,Graham Gano 24 yard field goal,6,10
,0:05,49ers,Vernon Davis 1 yard pass from Colin Kaepernick (Phil Dawson kick),13,10
3.0,8:53,49ers,Colin Kaepernick 4 yard rush (Phil Dawson kick),20,10
4.0,7:35,49ers,Phil Dawson 34 yard field goal,23,10
