Quarter,Time,Down,ToGo,Location,SFO,CAR,Detail,EPB,EPA
2,1:51,2,10,CAR 49,6,10,Colin Kaepernick pass complete deep left to Michael Crabtree for 20 yards (tackle by Melvin White),1.780,3.640
2,1:12,1,10,CAR 29,6,10,Frank Gore up the middle for 5 yards (tackle by Thomas Davis and Luke Kuechly),3.640,3.640
2,1:05,1,10,CAR 29,6,10,Timeout #1 by San Francisco 49ers,3.640,3.780
2,1:05,2,5,CAR 24,6,10,Colin Kaepernick pass complete short middle to Anquan Boldin for 15 yards (tackle by Michael Mitchell and Melvin White),3.780,3.780
2,0:53,2,5,CAR 24,6,10,Timeout #2 by San Francisco 49ers,3.780,5.140
2,0:53,1,9,CAR 9,6,10,Colin Kaepernick pass incomplete short right intended for Vernon Davis,5.140,5.140
2,0:47,1,9,CAR 9,6,10,Timeout #2 by Carolina Panthers,5.140,4.380
2,0:47,2,9,CAR 9,6,10,Colin Kaepernick pass incomplete short left intended for Anquan Boldin (defended by Luke Kuechly),4.380,3.360
2,0:42,3,9,CAR 9,6,10,"Colin Kaepernick pass incomplete short right intended for Anquan Boldin. Penalty on Drayton Florence: Defensive Pass Interference, 8 yards (no play)",3.360,6.970
2,0:37,1,1,CAR 1,6,10,Frank Gore right guard for no gain (tackle by Chase Blackburn and Michael Mitchell),6.970,5.910
2,0:14,2,1,CAR 1,12,10,"Colin Kaepernick pass complete short right to Vernon Davis for 1 yard, touchdown. Penalty on SFO: Unsportsmanlike Conduct, 15 yards",5.910,7.000
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the original play was overturned.",,
2,0:14,,,CAR 2,13,10,Phil Dawson kicks extra point good,0.000,0.000
2,0:14,,,SFO 20,13,10,"Phil Dawson kicks off 65 yards, returned by Ted Ginn for 15 yards (tackle by C.J. Spillman)",0.000,0.280
Quarter,Time,Down,ToGo,Location,SFO,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,13,10,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,CAR 20,13,10,DeAngelo Williams right guard for 3 yards (tackle by Glenn Dorsey),0.280,0.140
3,14:19,2,7,CAR 23,13,10,DeAngelo Williams up the middle for 3 yards (tackle by Patrick Willis),0.140,-0.160
3,13:38,3,4,CAR 26,13,10,Cam Newton pass incomplete short right intended for Steve Smith (defended by Eric Reid),-0.160,-1.630
3,13:32,4,4,CAR 26,13,10,"Brad Nortman punts 51 yards, fair catch by LaMichael James",-1.630,-0.480
3,13:25,1,10,SFO 23,13,10,Frank Gore left guard for 4 yards (tackle by Chase Blackburn),0.480,0.470
3,12:49,2,6,SFO 27,13,10,Colin Kaepernick pass complete short left to Anquan Boldin for 16 yards (tackle by Melvin White),0.470,1.800
3,12:16,1,10,SFO 43,13,10,Frank Gore right guard for 6 yards (tackle by Luke Kuechly),1.800,2.060
3,11:43,2,4,SFO 49,13,10,Frank Gore left guard for 3 yards (tackle by Thomas Davis),2.060,1.750
3,11:00,3,1,CAR 48,13,10,Colin Kaepernick up the middle for 1 yard (tackle by Star Lotulelei),1.750,2.460
3,10:18,1,10,CAR 47,13,10,Colin Kaepernick pass complete deep right to Anquan Boldin for 45 yards (tackle by Captain Munnerlyn),2.460,6.740
3,9:34,1,2,CAR 2,13,10,"Colin Kaepernick for no gain. Colin Kaepernick fumbles, recovered by Frank Gore at CAR-4",6.740,5.340
3,8:59,2,4,CAR 4,19,10,"Colin Kaepernick left end for 4 yards, touchdown",5.340,7.000
3,8:59,,,CAR 2,20,10,Phil Dawson kicks extra point good,0.000,0.000
3,8:59,,,SFO 35,20,10,"Phil Dawson kicks off 63 yards, returned by Ted Ginn for 22 yards (tackle by Dan Skuta)",0.000,-0.540
3,8:45,1,10,CAR 24,20,10,Cam Newton pass complete short right to Greg Olsen for 5 yards (tackle by Ahmad Brooks),0.540,0.670
3,8:10,2,5,CAR 29,20,10,Mike Tolbert left tackle for 4 yards (tackle by Glenn Dorsey and Ray McDonald),0.670,0.500
3,7:31,3,1,CAR 33,20,10,Cam Newton right tackle for 2 yards (tackle by Ray McDonald),0.500,1.270
3,6:52,1,10,CAR 35,20,10,Cam Newton pass incomplete short middle intended for Brandon LaFell,1.270,0.720
3,6:46,2,10,CAR 35,20,10,Cam Newton pass complete short left to Brandon LaFell for 9 yards (tackle by Tarell Brown),0.720,1.220
3,6:06,3,1,CAR 44,20,10,Mike Tolbert up the middle for 3 yards (tackle by Patrick Willis and NaVorro Bowman),1.220,2.060
3,5:25,1,10,CAR 47,20,10,Mike Tolbert up the middle for 5 yards (tackle by Patrick Willis and NaVorro Bowman),2.060,2.190
3,4:44,2,5,SFO 48,20,10,"Cam Newton pass incomplete deep right intended for Ted Ginn. Penalty on Tramaine Brock: Defensive Holding, 5 yards (no play)",2.190,2.720
3,4:37,1,10,SFO 43,20,10,"DeAngelo Williams right tackle for 2 yards (tackle by Dan Skuta). Penalty on Greg Olsen: Illegal Formation, 5 yards (no play)",2.720,2.390
3,4:10,1,15,SFO 48,20,10,Cam Newton up the middle for 5 yards (tackle by Aldon Smith),2.390,2.180
3,3:22,2,10,SFO 43,20,10,Cam Newton pass complete short right to Greg Olsen for 9 yards (tackle by NaVorro Bowman),2.180,2.680
3,2:41,3,1,SFO 34,20,10,Cam Newton pass complete short right to Brandon LaFell for 5 yards,2.680,3.640
3,2:03,1,10,SFO 29,20,10,Cam Newton pass incomplete short right intended for DeAngelo Williams,3.640,3.100
3,1:58,2,10,SFO 29,20,10,Cam Newton sacked by NaVorro Bowman for -8 yards,3.100,1.360
3,1:18,3,18,SFO 37,20,10,Cam Newton sacked by Ahmad Brooks for -8 yards,1.360,0.270
3,0:40,4,26,SFO 45,20,10,"Brad Nortman punts 33 yards, fair catch by LaMichael James",0.270,0.350
3,0:33,1,10,SFO 12,20,10,Kendall Hunter left guard for 1 yard (tackle by Colin Cole and Chase Blackburn),-0.350,-0.700
Quarter,Time,Down,ToGo,Location,SFO,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,SFO 13,20,10,Colin Kaepernick left end for 7 yards (tackle by Thomas Davis),-0.700,-0.480
4,14:33,3,2,SFO 20,20,10,Colin Kaepernick pass complete short right to Anquan Boldin for 5 yards (tackle by Captain Munnerlyn),-0.480,0.610
4,13:51,1,10,SFO 25,20,10,Frank Gore left tackle for 6 yards (tackle by Luke Kuechly and Thomas Davis),0.610,0.870
4,13:12,2,4,SFO 31,20,10,Frank Gore left guard for 3 yards (tackle by Kawann Short and Luke Kuechly),0.870,0.870
4,12:27,2,4,SFO 31,20,10,Timeout #1 by San Francisco 49ers,0.870,0.560
4,12:27,3,1,SFO 34,20,10,Frank Gore left guard for 39 yards (tackle by Michael Mitchell and Drayton Florence),0.560,3.780
4,11:47,1,10,CAR 27,20,10,Kendall Hunter left tackle for no gain (tackle by Chase Blackburn and Luke Kuechly),3.780,3.230
4,11:06,2,10,CAR 27,20,10,Colin Kaepernick pass complete short right to Anquan Boldin for 9 yards (tackle by Luke Kuechly and Drayton Florence),3.230,3.230
4,10:17,2,10,CAR 27,20,10,Timeout #2 by San Francisco 49ers,3.230,3.840
4,10:17,3,1,CAR 18,20,10,Colin Kaepernick up the middle for 3 yards (tackle by Kawann Short and Star Lotulelei),3.840,4.580
4,9:40,1,10,CAR 15,20,10,Frank Gore up the middle for 5 yards (tackle by Greg Hardy),4.580,4.840
4,9:02,2,5,CAR 10,20,10,Frank Gore up the middle for 1 yard (tackle by Star Lotulelei and Chase Blackburn),4.840,4.840
4,8:21,2,5,CAR 10,20,10,Timeout #1 by Carolina Panthers,4.840,4.220
4,8:21,3,4,CAR 9,20,10,Colin Kaepernick left end for -6 yards (tackle by Luke Kuechly),4.220,2.440
4,7:46,4,10,CAR 15,23,10,Phil Dawson 34 yard field goal good,2.440,3.000
4,7:46,,,SFO 35,23,10,"Phil Dawson kicks off 67 yards, returned by Ted Ginn for 25 yards (tackle by Raymond Ventrone)",0.000,-0.480
4,7:35,1,10,CAR 23,23,10,Cam Newton pass incomplete short right intended for Brandon LaFell (defended by Perrish Cox),0.480,-0.070
4,7:30,2,10,CAR 23,23,10,Cam Newton pass complete short right to Brandon LaFell for 13 yards (tackle by Perrish Cox),-0.070,1.330
4,7:11,1,10,CAR 36,23,10,Cam Newton sacked by Tony Jerod-Eddie and Ahmad Brooks for -6 yards,1.330,-0.020
4,6:49,2,16,CAR 30,23,10,Cam Newton pass complete short right to Ted Ginn for 14 yards (tackle by Tramaine Brock),-0.020,1.160
4,6:26,3,2,CAR 44,23,10,Cam Newton up the middle for 7 yards (tackle by Patrick Willis),1.160,2.320
4,5:48,1,10,SFO 49,23,10,Mike Tolbert right guard for 2 yards (tackle by Patrick Willis and NaVorro Bowman),2.320,2.050
4,5:19,2,8,SFO 47,23,10,"Cam Newton sacked by Dan Skuta for -13 yards. Penalty on Dan Skuta: Roughing the Passer, 15 yards",2.050,2.590
4,5:03,1,10,SFO 45,23,10,Cam Newton pass complete deep middle to Ted Ginn for 17 yards (tackle by Tarell Brown),2.590,3.710
4,4:34,1,10,SFO 28,23,10,Cam Newton pass incomplete deep right intended for Greg Olsen is intercepted by Donte Whitner at SFO-9 and returned for 18 yards (tackle by Travelle Wharton),3.710,-0.740
4,4:22,1,10,SFO 27,23,10,Frank Gore up the middle for no gain (tackle by Star Lotulelei),0.740,0.740
4,4:16,1,10,SFO 27,23,10,Timeout #2 by Carolina Panthers,0.740,0.200
4,4:13,2,10,SFO 27,23,10,Frank Gore left guard for no gain (tackle by Greg Hardy and Kawann Short),0.200,0.200
4,4:10,2,10,SFO 27,23,10,Timeout #3 by Carolina Panthers,0.200,-0.490
4,4:10,3,10,SFO 27,23,10,"Kendall Hunter up the middle for 2 yards (tackle by Dwan Edwards and Mario Addison). Penalty on Josh Thomas: Unsportsmanlike Conduct, 15 yards",-0.490,1.860
4,4:02,1,10,SFO 44,23,10,Kendall Hunter up the middle for -1 yards (tackle by Star Lotulelei),1.860,1.180
4,3:21,2,11,SFO 43,23,10,Kendall Hunter right tackle for 17 yards (tackle by Thomas Davis and Luke Kuechly),1.180,2.920
4,2:36,1,10,CAR 40,23,10,Kendall Hunter left guard for -1 yards (tackle by Charles Johnson),2.920,2.240
4,2:00,2,11,CAR 41,23,10,Kendall Hunter up the middle for 2 yards (tackle by Colin Cole and Greg Hardy),2.240,1.820
4,1:16,3,9,CAR 39,23,10,Kendall Hunter left tackle for 5 yards (tackle by Thomas Davis),1.820,1.080
4,1:16,4,4,CAR 34,23,10,"Penalty on SFO: Delay of Game, 5 yards (no play)",1.080,0.660
4,0:23,4,9,CAR 39,23,10,"Penalty on Jason Williams: Neutral Zone Infraction, 5 yards (no play)",0.660,1.080
4,0:23,4,4,CAR 34,23,10,Andy Lee pass incomplete short left intended for Kassim Osgood,1.080,-1.200
4,0:12,1,10,CAR 34,23,10,Cam Newton pass incomplete deep right intended for Ted Ginn,1.200,0.660
4,0:12,2,10,CAR 34,23,10,Cam Newton pass complete short left to Ted Ginn for 59 yards (tackle by Darryl Morris),0.660,5.600
4,0:01,1,7,SFO 7,23,10,Cam Newton pass incomplete short right intended for Ted Ginn,5.600,4.760
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
