#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,14:04,NOR 43,10,4:42,33,Missed FG
2,1,5:07,NOR 34,5,2:40,66,Touchdown
3,2,12:09,NOR 20,6,3:35,80,Touchdown
4,2,5:32,NOR 10,6,2:55,23,Punt
5,2,1:39,NOR 20,9,1:39,76,Field Goal
6,3,15:00,NOR 20,5,2:28,19,Interception
7,3,9:29,NOR 24,12,6:18,76,Touchdown
8,4,11:08,NOR 20,3,1:31,2,Punt
9,4,5:33,NOR 20,11,4:16,63,Field Goal
