Unnamed: 0,TAM,NOR
First Downs,18,25
Rush-Yds-TDs,20-84-0,28-195-1
Cmp-Att-Yd-TD-INT,27-37-281-1-0,27-36-258-2-1
Sacked-Yards,1-0,0-0
Net Pass Yards,281,258
Total Yards,365,453
Fumbles-Lost,3-0,0-0
Turnovers,0,1
Penalties-Yards,9-80,8-63
Third Down Conv.,2-12,5-10
Fourth Down Conv.,1-2,0-0
Time of Possession,29:56,30:04
