Quarter,Time,Down,ToGo,Location,MIA,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Olindo Mare kicks off 58 yards, returned by Jake Schifino for 19 yards (tackle by Brendon Ayanbadejo)",0.000,1.000
1,14:53,1,10,TEN 31,0,0,Steve McNair pass complete to Tyrone Calico for 10 yards (tackle by Terrell Buckley),1.000,1.660
1,14:23,1,10,TEN 41,0,0,Steve McNair pass incomplete intended for Tyrone Calico,1.660,1.120
1,14:19,2,10,TEN 41,0,0,Eddie George up the middle for 1 yard (tackle by Junior Seau),1.120,0.560
1,13:35,3,9,TEN 42,0,0,Steve McNair pass complete to Derrick Mason for 46 yards (tackle by Sammy Knight),0.560,4.780
1,12:45,1,10,MIA 12,0,0,Robert Holcombe left guard for no gain (tackle by Junior Seau),4.780,4.100
1,12:07,2,10,MIA 12,0,6,"Steve McNair pass complete to Tyrone Calico for 12 yards, touchdown",4.100,7.000
1,,,,MIA 2,0,7,Gary Anderson kicks extra point good,0.000,0.000
1,,,,TEN 30,0,7,"Craig Hentrich kicks off 58 yards, returned by Travis Minor for 21 yards (tackle by Ray Wells). Penalty on MIA: Offensive Holding, 10 yards",0.000,0.480
1,11:53,1,10,MIA 23,0,7,"Penalty on Robaire Smith: Defensive Offside, 5 yards (no play)",0.480,1.210
1,11:53,1,5,MIA 28,0,7,Brian Griese pass incomplete intended for Donald Lee (defended by Keith Bulluck),1.210,0.610
1,11:50,2,5,MIA 28,0,7,Ricky Williams left end for 7 yards (tackle by Tank Williams),0.610,1.270
1,11:25,1,10,MIA 35,0,7,Brian Griese pass incomplete intended for Randy McMichael,1.270,0.720
1,11:18,2,10,MIA 35,0,7,Brian Griese pass complete to Ricky Williams for 8 yards (tackle by Rocky Calmus),0.720,1.090
1,10:32,3,2,MIA 43,0,7,Brian Griese pass incomplete intended for Derrius Thompson (defended by Samari Rolle),1.090,-0.520
1,10:32,4,2,MIA 43,0,7,"Matt Turk punts 39 yards, fair catch by Justin McCareins",-0.520,-0.040
1,10:21,1,10,TEN 18,0,7,Steve McNair pass incomplete intended for Derrick Mason (defended by Brock Marion),0.040,-0.490
1,10:16,2,10,TEN 18,0,7,Steve McNair pass complete to Derrick Mason for 17 yards (tackle by Sam Madison),-0.490,1.270
1,9:50,1,10,TEN 35,0,7,Eddie George left guard for 8 yards (tackle by Sammy Knight),1.270,1.800
1,9:14,2,2,TEN 43,0,7,Eddie George right tackle for 8 yards (tackle by Terrell Buckley),1.800,2.320
1,8:29,1,10,MIA 49,0,7,Eddie George left tackle for 3 yards (tackle by Morlon Greenwood and Adewale Ogunleye),2.320,2.190
1,7:44,2,7,MIA 46,0,7,Steve McNair pass complete to Frank Wycheck for 10 yards (tackle by Morlon Greenwood),2.190,3.180
1,7:03,1,10,MIA 36,0,7,Eddie George right tackle for 1 yard (tackle by Junior Seau and Jeff Zgonina),3.180,2.770
1,6:19,2,9,MIA 35,0,7,Steve McNair pass complete to Derrick Mason for 5 yards (tackle by Junior Seau),2.770,2.740
1,5:36,3,4,MIA 30,0,7,Robert Holcombe up the middle for 5 yards (tackle by Sammy Knight and Rob Burnett),2.740,3.910
1,5:08,1,10,MIA 25,0,7,Steve McNair pass incomplete intended for Tyrone Calico,3.910,3.360
,,,,,,,"MIA challenged the ruling, and the original play was overturned.",,
1,5:03,2,10,MIA 25,0,7,Eddie George up the middle for no gain (tackle by Larry Chester),3.360,2.680
1,4:26,3,10,MIA 25,0,7,Steve McNair pass complete to Derrick Mason for 12 yards (tackle by Shawn Wooden),2.680,4.710
1,3:45,1,10,MIA 13,0,7,Eddie George up the middle for 4 yards (tackle by Jason Taylor and Jeff Zgonina),4.710,4.770
1,3:09,2,6,MIA 9,0,7,Eddie George up the middle for 3 yards (tackle by Jeff Zgonina and Tommy Hendricks),4.770,4.560
1,2:28,3,3,MIA 6,0,7,Steve McNair pass complete to Tyrone Calico for 4 yards (tackle by Sam Madison),4.560,6.740
1,1:38,1,2,MIA 2,0,13,"Eddie George right tackle for 2 yards, touchdown",6.740,7.000
1,,,,MIA 2,0,14,Gary Anderson kicks extra point good,0.000,0.000
1,,,,TEN 30,0,14,"Craig Hentrich kicks off 70 yards, touchback",0.000,0.280
1,1:34,1,10,MIA 20,0,14,Ricky Williams right tackle for -1 yards (tackle by Robaire Smith),0.280,-0.460
1,0:56,2,11,MIA 19,0,14,Brian Griese pass complete to Ricky Williams for 7 yards (tackle by Albert Haynesworth),-0.460,-0.160
1,0:20,3,4,MIA 26,0,14,Brian Griese pass incomplete intended for Kendall Newson. Penalty on Kendall Newson: Offensive Pass Interference (Declined),-0.160,-1.630
1,0:11,4,4,MIA 26,0,14,"Matt Turk punts 41 yards, fair catch by Justin McCareins",-1.630,-1.140
1,0:08,1,10,TEN 33,0,14,Steve McNair pass complete to Erron Kinney for 11 yards (tackle by Brock Marion),1.140,1.860
Quarter,Time,Down,ToGo,Location,MIA,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TEN 44,0,14,Steve McNair pass complete to Eddie George for 3 yards (tackle by Jamar Fletcher),1.860,1.720
2,14:18,2,7,TEN 47,0,14,Robert Holcombe right guard for -1 yards (tackle by Tommy Hendricks and Larry Chester),1.720,0.890
2,13:31,3,8,TEN 46,0,14,Steve McNair pass complete to Robert Holcombe for 6 yards (tackle by Junior Seau),0.890,0.070
2,12:46,4,2,MIA 48,0,14,"Craig Hentrich punts 39 yards, fair catch by Sam Simmons",0.070,0.380
2,12:38,1,10,MIA 9,0,14,Brian Griese pass complete to Randy McMichael for 6 yards (tackle by Peter Sirmon),-0.380,-0.280
2,12:04,2,4,MIA 15,0,14,Ricky Williams left tackle for -1 yards (tackle by Rocky Calmus and Jevon Kearse),-0.280,-0.840
2,11:25,3,5,MIA 14,0,14,Brian Griese pass complete to Ricky Williams for 4 yards (tackle by Peter Sirmon),-0.840,-2.240
2,11:18,4,1,MIA 18,0,14,"Matt Turk punts 40 yards, returned by Justin McCareins for 15 yards (tackle by Morlon Greenwood)",-2.240,-2.720
2,11:08,1,10,MIA 43,0,14,Steve McNair pass complete to Derrick Mason for 8 yards (tackle by Terrell Buckley),2.720,3.260
2,10:32,2,2,MIA 35,0,14,Chris Brown left tackle for -3 yards (tackle by Junior Seau and Jason Taylor),3.260,2.150
2,9:57,3,5,MIA 38,0,14,Steve McNair pass incomplete intended for Frank Wycheck (defended by Jason Taylor),2.150,0.720
2,9:55,4,5,MIA 38,0,14,"Craig Hentrich punts 38 yards, touchback",0.720,-0.280
2,9:45,1,10,MIA 20,0,14,"Penalty on Albert Haynesworth: Defensive Offside, 5 yards (no play)",0.280,1.010
2,9:45,1,5,MIA 25,0,14,Brian Griese pass complete to Kendall Newson for 37 yards (tackle by Samari Rolle),1.010,3.050
2,8:59,1,10,TEN 38,0,14,"Brian Griese sacked by Jevon Kearse for -9 yards. Brian Griese fumbles (forced by Jevon Kearse), recovered by Albert Haynesworth at TEN-42",3.050,-1.730
2,8:51,1,10,TEN 42,0,14,Eddie George right tackle for -2 yards (tackle by Adewale Ogunleye and Tommy Hendricks),1.730,0.920
2,8:10,2,12,TEN 40,0,14,Eddie George up the middle for 3 yards (tackle by Tommy Hendricks and Jeff Zgonina),0.920,0.630
2,7:24,3,9,TEN 43,0,14,Steve McNair pass incomplete intended for Erron Kinney (defended by Arturo Freeman),0.630,-0.520
2,7:19,4,9,TEN 43,0,14,"Craig Hentrich punts 43 yards, fair catch by Sam Simmons",-0.520,0.280
2,7:13,1,10,MIA 14,0,14,Ricky Williams left tackle for 2 yards (tackle by Rocky Calmus),-0.280,-0.510
2,6:33,2,8,MIA 16,0,14,Brian Griese pass complete to Ricky Williams for -6 yards (tackle by Robaire Smith),-0.510,-1.890
2,5:47,3,14,MIA 10,0,14,Brian Griese sacked by Carlos Hall for -8 yards,-1.890,-2.490
2,5:20,4,22,MIA 2,0,14,"Matt Turk punts 43 yards, fair catch by Justin McCareins",-2.490,-2.590
2,5:09,1,10,MIA 45,0,14,Steve McNair right tackle for 3 yards (tackle by Tommy Hendricks and Jason Taylor),2.590,2.450
2,4:22,2,7,MIA 42,0,14,Eddie George right tackle for 3 yards (tackle by Larry Chester),2.450,2.150
2,3:40,3,4,MIA 39,0,14,Steve McNair pass complete to Frank Wycheck for 6 yards (tackle by Brock Marion),2.150,3.380
2,2:57,1,10,MIA 33,0,14,Robert Holcombe right tackle for -1 yards (tackle by Tim Bowens and Rob Burnett),3.380,2.700
2,2:17,2,11,MIA 34,0,14,Steve McNair pass incomplete intended for Derrick Mason,2.700,2.010
2,2:11,3,11,MIA 34,0,14,Steve McNair pass complete to Robert Holcombe for 6 yards (tackle by Terrell Buckley),2.010,1.630
2,2:00,4,5,MIA 28,0,14,Craig Hentrich pass incomplete intended for Eddie Berlin (defended by Sam Simmons),1.630,-0.870
2,1:53,1,10,MIA 29,0,14,Brian Griese pass complete to Randy McMichael for 8 yards (tackle by Rocky Calmus),0.870,1.410
2,1:34,2,2,MIA 37,0,14,Brian Griese pass complete to Ricky Williams for 3 yards (tackle by Rocky Calmus),1.410,1.600
