Unnamed: 0,IND,DEN
First Downs,24,24
Rush-Yds-TDs,14-54-1,32-102-1
Cmp-Att-Yd-TD-INT,35-53-370-2-2,22-36-269-3-0
Sacked-Yards,3-16,1-10
Net Pass Yards,354,259
Total Yards,408,361
Fumbles-Lost,1-0,2-0
Turnovers,2,0
Penalties-Yards,9-45,7-70
Third Down Conv.,4-13,7-14
Fourth Down Conv.,2-4,0-0
Time of Possession,27:36,32:24
