Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,IND 20,0,0,Andrew Luck pass complete deep right to Reggie Wayne for 22 yards,0.280,1.730
1,14:32,1,10,IND 42,0,0,Trent Richardson left guard for 6 yards (tackle by Sylvester Williams),1.730,2.000
1,13:58,2,4,IND 48,0,0,Andrew Luck pass complete short left to T.Y. Hilton for 7 yards (tackle by Chris Harris),2.000,2.590
1,13:19,1,10,DEN 45,0,0,Trent Richardson right guard for -1 yards (tackle by Nate Irving),2.590,1.910
1,12:47,2,11,DEN 46,0,0,Andrew Luck pass complete short right to Trent Richardson for 10 yards (tackle by Rahim Moore),1.910,2.540
1,12:00,3,1,DEN 36,0,0,Andrew Luck pass incomplete short right intended for Coby Fleener,2.540,0.890
1,11:57,4,1,DEN 36,0,0,"Penalty on Pat McAfee: Delay of Game, 5 yards (no play)",0.890,0.530
1,11:57,4,6,DEN 41,0,0,"Pat McAfee punts 41 yards, touchback",0.530,-0.280
1,11:49,1,10,DEN 20,0,0,Peyton Manning pass complete short left to Emmanuel Sanders for 4 yards (tackle by LaRon Landry),0.280,0.270
1,11:20,2,6,DEN 24,0,0,Peyton Manning pass complete short right to Emmanuel Sanders for 12 yards (tackle by Greg Toler),0.270,1.330
1,10:50,1,10,DEN 36,0,0,Peyton Manning pass complete short left to Emmanuel Sanders for 5 yards,1.330,1.470
1,10:27,2,5,DEN 41,0,0,Montee Ball right end for 15 yards (tackle by Mike Adams),1.470,2.650
1,9:49,1,10,IND 44,0,0,"Penalty on Cory Redding: Defensive Offside, 5 yards (no play)",2.650,3.380
1,9:34,1,5,IND 39,0,0,Peyton Manning pass incomplete deep left intended for Demaryius Thomas (defended by Vontae Davis),3.380,2.780
1,9:28,2,5,IND 39,0,0,Montee Ball right tackle for 4 yards (tackle by Ricky Jean-Francois),2.780,2.610
1,8:50,3,1,IND 35,0,0,Montee Ball up the middle for 1 yard (tackle by Arthur Jones),2.610,3.310
1,8:06,1,10,IND 34,0,0,Montee Ball left end for no gain (tackle by Vontae Davis),3.310,2.770
1,7:23,2,10,IND 34,0,0,C.J. Anderson up the middle for 13 yards (tackle by Darius Butler),2.770,4.170
1,6:50,1,10,IND 21,0,0,Peyton Manning pass incomplete short left intended for Demaryius Thomas,4.170,3.630
1,6:46,2,10,IND 21,0,0,"Penalty on Ryan Clady: False Start, 5 yards (no play)",3.630,2.950
1,6:46,2,15,IND 26,0,0,Peyton Manning pass complete short left to Julius Thomas for 13 yards (tackle by D'Qwell Jackson and LaRon Landry),2.950,4.240
1,6:15,3,2,IND 13,0,0,Peyton Manning pass complete short right to Demaryius Thomas for 10 yards (tackle by Mike Adams),4.240,6.510
1,5:30,1,3,IND 3,0,0,Peyton Manning pass incomplete short right intended for Demaryius Thomas,6.510,5.530
1,5:25,2,3,IND 3,0,0,Peyton Manning pass incomplete short middle intended for Demaryius Thomas,5.530,4.720
1,5:22,3,3,IND 3,0,0,Peyton Manning pass incomplete short right intended for Demaryius Thomas (defended by Greg Toler),4.720,3.040
1,5:17,4,3,IND 3,0,3,Brandon McManus 21 yard field goal good,3.040,3.000
1,5:17,,,DEN 35,0,3,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
1,5:14,1,10,IND 20,0,3,Trent Richardson left tackle for 7 yards (tackle by Brandon Marshall),0.280,0.680
1,4:39,2,3,IND 27,0,3,Andrew Luck pass incomplete short middle intended for T.Y. Hilton (defended by Chris Harris),0.680,-0.030
1,4:35,3,3,IND 27,0,3,Andrew Luck pass complete short middle to Reggie Wayne for 14 yards (tackle by Aqib Talib),-0.030,1.660
1,4:00,1,10,IND 41,0,3,Andrew Luck pass complete short left to Reggie Wayne for 3 yards (tackle by T.J. Ward),1.660,1.530
