Quarter,Time,Tm,Detail,SFO,MIN
1.0,7:20,Vikings,Kyle Rudolph 1 yard pass from Christian Ponder (Blair Walsh kick),0,7
2.0,12:13,49ers,David Akers 29 yard field goal,3,7
,5:29,Vikings,Christian Ponder 23 yard rush (Blair Walsh kick),3,14
,0:00,Vikings,Blair Walsh 52 yard field goal,3,17
3.0,12:46,49ers,David Akers 29 yard field goal,6,17
,6:17,49ers,Vernon Davis 1 yard pass from Alex Smith (David Akers kick),13,17
4.0,14:17,Vikings,Kyle Rudolph 2 yard pass from Christian Ponder (Blair Walsh kick),13,24
