Unnamed: 0,SFO,MIN
First Downs,19,25
Rush-Yds-TDs,20-89-0,41-146-1
Cmp-Att-Yd-TD-INT,24-35-204-1-1,21-35-198-2-0
Sacked-Yards,3-13,0-0
Net Pass Yards,191,198
Total Yards,280,344
Fumbles-Lost,2-2,3-2
Turnovers,3,2
Penalties-Yards,6-60,1-10
Third Down Conv.,4-10,7-14
Fourth Down Conv.,0-0,1-1
Time of Possession,26:32,33:28
