Quarter,Time,Tm,Detail,GNB,MIN
1.0,4:49,Packers,Mason Crosby 42 yard field goal,3,0
,3:01,Vikings,Kyle Rudolph 47 yard pass from Teddy Bridgewater (Blair Walsh kick failed),3,6
,1:37,Packers,Mason Crosby 47 yard field goal,6,6
2.0,10:17,Packers,Mason Crosby 40 yard field goal,9,6
,0:06,Packers,Randall Cobb 10 yard pass from Aaron Rodgers (Mason Crosby kick),16,6
3.0,10:13,Packers,Mason Crosby 42 yard field goal,19,6
,2:37,Vikings,Adrian Peterson 6 yard rush (Blair Walsh kick),19,13
4.0,14:51,Packers,James Jones 27 yard pass from Aaron Rodgers (James Jones pass from Aaron Rodgers),27,13
,4:14,Packers,Mason Crosby 52 yard field goal,30,13
