Quarter,Time,Tm,Detail,TAM,CAR
1,8:46,Buccaneers,Nate Byham 3 yard pass from Josh Freeman (Connor Barth kick),7,0
,5:21,Buccaneers,Connor Barth 51 yard field goal,10,0
,0:35,Panthers,Captain Munnerlyn 74 yard interception return (Justin Medlock kick),10,7
2,8:53,Panthers,Jonathan Stewart 1 yard rush (Justin Medlock kick),10,14
4,6:00,Panthers,Brandon LaFell 29 yard pass from Cam Newton (Justin Medlock kick),10,21
,4:03,Buccaneers,Connor Barth 40 yard field goal,13,21
,0:12,Buccaneers,Vincent Jackson 24 yard pass from Josh Freeman (Vincent Jackson pass from Josh Freeman),21,21
OT,10:40,Buccaneers,Dallas Clark 15 yard pass from Josh Freeman,27,21
