Unnamed: 0,TAM,CAR
First Downs,25,18
Rush-Yds-TDs,30-167-0,34-97-1
Cmp-Att-Yd-TD-INT,25-46-248-3-2,16-29-252-1-0
Sacked-Yards,1-12,2-18
Net Pass Yards,236,234
Total Yards,403,331
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,6-50,11-91
Third Down Conv.,7-18,9-17
Fourth Down Conv.,1-2,0-1
Time of Possession,32:30,31:50
