Unnamed: 0,OAK,DEN
First Downs,11,20
Rush-Yds-TDs,16-39-1,39-190-2
Cmp-Att-Yd-TD-INT,17-35-184-0-1,14-21-197-2-0
Sacked-Yards,5-28,2-4
Net Pass Yards,156,193
Total Yards,195,383
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,13-98,6-35
Third Down Conv.,4-15,6-12
Fourth Down Conv.,1-2,0-0
Time of Possession,24:41,35:19
