Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
2,10:18,3,12,LAR 46,7,3,Case Keenum pass complete deep right to Kenny Britt for 34 yards (tackle by Tony Jefferson),0.630,4.240
2,9:44,1,10,ARI 20,7,3,Todd Gurley middle for 1 yard (tackle by Ed Stinson),4.240,3.820
2,9:06,2,9,ARI 19,7,3,Case Keenum pass incomplete deep left intended for Tyler Higbee. Penalty on LAR: Illegal Formation (Declined),3.820,3.100
2,9:00,3,9,ARI 19,7,3,Case Keenum pass complete short left to Tavon Austin for 8 yards (tackle by Patrick Peterson),3.100,2.850
2,8:46,4,1,ARI 11,10,3,Greg Zuerlein 29 yard field goal good,2.850,3.000
2,8:46,,,LAR 35,10,3,"Greg Zuerlein kicks off 66 yards, returned by Andre Ellington for 25 yards (tackle by Benny Cunningham)",0.000,-0.540
2,8:34,1,10,ARI 24,10,3,David Johnson right end for 31 yards (tackle by Maurice Alexander),0.540,2.590
2,7:50,1,10,LAR 45,10,3,David Johnson right end for -3 yards (tackle by Eugene Sims),2.590,1.640
2,7:09,2,13,LAR 48,10,3,Carson Palmer pass complete short right to John Brown for 10 yards (tackle by Trumaine Johnson),1.640,2.280
2,6:25,3,3,LAR 38,10,3,"Penalty on A.Q. Shipley: False Start, 5 yards (no play)",2.280,1.620
2,6:04,3,8,LAR 43,10,3,Carson Palmer pass incomplete short right intended for Chris Johnson,1.620,0.400
2,6:00,4,8,LAR 43,10,3,Ryan Quigley punts 40 yards,0.400,0.380
2,5:49,1,10,LAR 3,10,3,Todd Gurley middle for 1 yard (tackle by Markus Golden),-0.380,-0.710
2,5:09,2,9,LAR 4,10,3,Case Keenum pass complete short left to Lance Kendricks for 5 yards (tackle by Kevin Minter),-0.710,-0.720
2,4:27,3,4,LAR 9,10,3,Case Keenum pass incomplete short middle intended for Lance Kendricks,-0.720,-2.490
2,4:23,4,4,LAR 9,10,3,"Johnny Hekker punts 55 yards, returned by John Brown for 19 yards (tackle by Cody Davis)",-2.490,-2.590
2,4:10,1,10,LAR 45,10,3,Carson Palmer pass complete short middle to Darren Fells for 5 yards (tackle by Mark Barron),2.590,2.720
2,3:28,2,5,LAR 40,10,3,Carson Palmer pass complete short left to John Brown for 7 yards (tackle by E.J. Gaines),2.720,3.380
2,3:00,1,10,LAR 33,10,3,Carson Palmer pass incomplete deep right intended for John Brown is intercepted by Trumaine Johnson at LAR-0,3.380,-0.280
2,2:53,1,10,LAR 20,10,3,Todd Gurley right tackle for 3 yards (tackle by Chandler Jones),0.280,0.140
2,2:15,2,7,LAR 23,10,3,Case Keenum pass complete short middle to Todd Gurley for 4 yards (tackle by Alex Okafor),0.140,-0.030
2,2:00,3,3,LAR 27,10,3,Case Keenum pass incomplete short left intended for Tavon Austin,-0.030,-1.570
