Unnamed: 0,LAR,ARI
First Downs,12,26
Rush-Yds-TDs,23-41-0,25-118-0
Cmp-Att-Yd-TD-INT,18-30-266-2-0,27-47-325-1-3
Sacked-Yards,2-19,3-23
Net Pass Yards,247,302
Total Yards,288,420
Fumbles-Lost,1-1,2-2
Turnovers,1,5
Penalties-Yards,9-84,6-45
Third Down Conv.,6-14,6-13
Fourth Down Conv.,0-1,0-0
Time of Possession,27:51,32:09
