Quarter,Time,Tm,Detail,LAR,ARI
1.0,1:59,Rams,Brian Quick 65 yard pass from Case Keenum (Greg Zuerlein kick),7,0
2.0,12:19,Cardinals,Chandler Catanzaro 25 yard field goal,7,3
,8:42,Rams,Greg Zuerlein 29 yard field goal,10,3
,0:24,Cardinals,Michael Floyd 5 yard pass from Carson Palmer (Chandler Catanzaro kick),10,10
3.0,0:00,Cardinals,Chandler Catanzaro 21 yard field goal,10,13
4.0,2:36,Rams,Brian Quick 4 yard pass from Case Keenum (Greg Zuerlein kick),17,13
