Quarter,Time,Tm,Detail,MIN,LAR
1.0,7:55,Vikings,Aldrick Robinson 16 yard pass from Kirk Cousins (Dan Bailey kick),7,0
,1:55,Rams,Todd Gurley 8 yard pass from Jared Goff (Sam Ficken kick),7,7
2.0,10:05,Vikings,Dan Bailey 37 yard field goal,10,7
,9:28,Rams,Cooper Kupp 70 yard pass from Jared Goff (Sam Ficken kick),10,14
,8:04,Vikings,Aldrick Robinson 17 yard pass from Kirk Cousins (Dan Bailey kick),17,14
,3:47,Rams,Cooper Kupp 19 yard pass from Jared Goff (Sam Ficken kick),17,21
,1:26,Rams,Brandin Cooks 47 yard pass from Jared Goff (Sam Ficken kick),17,28
,0:02,Vikings,Dan Bailey 39 yard field goal,20,28
3.0,5:21,Rams,Sam Ficken 34 yard field goal,20,31
,3:35,Vikings,Adam Thielen 45 yard pass from Kirk Cousins (Latavius Murray pass from Kirk Cousins),28,31
,1:09,Rams,Robert Woods 31 yard pass from Jared Goff (Sam Ficken kick),28,38
4.0,3:46,Vikings,Dan Bailey 40 yard field goal,31,38
