Unnamed: 0,MIN,LAR
First Downs,25,25
Rush-Yds-TDs,17-54-0,20-100-0
Cmp-Att-Yd-TD-INT,36-50-422-3-0,26-34-465-5-0
Sacked-Yards,4-30,1-9
Net Pass Yards,392,456
Total Yards,446,556
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,4-35,2-15
Third Down Conv.,8-16,1-6
Fourth Down Conv.,2-2,0-1
Time of Possession,32:14,27:46
