Quarter,Time,Down,ToGo,Location,MIN,LAR,Detail,EPB,EPA
2,10:17,3,2,LAR 19,7,7,Kirk Cousins pass incomplete short left intended for Stefon Diggs (defended by Cory Littleton),3.640,2.310
2,10:10,4,2,LAR 19,10,7,Dan Bailey 37 yard field goal good,2.310,3.000
2,10:05,,,MIN 35,10,7,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
2,10:05,1,10,LAR 25,10,7,Todd Gurley right guard for 5 yards (tackle by Linval Joseph and Danielle Hunter),0.610,0.740
2,9:40,2,5,LAR 30,10,13,"Jared Goff pass complete deep right to Cooper Kupp for 70 yards, touchdown",0.740,7.000
2,9:28,,,MIN 15,10,14,Sam Ficken kicks extra point good,0.000,0.000
2,9:28,,,LAR 35,10,14,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
2,9:28,1,10,MIN 25,10,14,Kirk Cousins pass complete short right to Stefon Diggs for 34 yards (tackle by Lamarcus Joyner),0.610,2.850
2,8:45,1,10,LAR 41,10,14,Kirk Cousins pass complete short left to Kyle Rudolph for 24 yards (tackle by Lamarcus Joyner),2.850,4.440
2,8:13,1,10,LAR 17,16,14,"Kirk Cousins pass complete deep right to Aldrick Robinson for 17 yards, touchdown. Penalty on Sam Shields: Defensive Pass Interference (Declined)",4.440,7.000
2,8:04,,,LAR 15,17,14,Dan Bailey kicks extra point good,0.000,0.000
2,8:04,,,MIN 35,17,14,"Dan Bailey kicks off 67 yards, returned by Blake Countess for no gain (tackle by Mike Hughes)",0.000,0.610
2,7:58,1,10,LAR 25,17,14,Todd Gurley left guard for 7 yards (tackle by Anthony Barr),0.610,1.010
2,7:15,2,3,LAR 32,17,14,Jared Goff pass incomplete short left intended for Tyler Higbee,1.010,0.300
2,7:10,3,3,LAR 32,17,14,Jared Goff pass incomplete short right intended for Cooper Kupp,0.300,-1.240
2,7:05,4,3,LAR 32,17,14,Johnny Hekker punts 39 yards out of bounds,-1.240,-0.870
2,6:57,1,10,MIN 29,17,14,Dalvin Cook right tackle for no gain (tackle by Samson Ebukam),0.870,0.330
2,6:32,2,10,MIN 29,17,14,Dalvin Cook up the middle for 4 yards (tackle by Cory Littleton and John Johnson),0.330,0.170
2,5:53,3,6,MIN 33,17,14,Kirk Cousins pass incomplete short right intended for Laquon Treadwell,0.170,-1.180
2,5:48,4,6,MIN 33,17,14,Matt Wile punts 38 yards downed by Jayron Kearse,-1.180,-0.870
2,5:37,1,10,LAR 29,17,14,Todd Gurley up the middle for 5 yards (tackle by Mackensie Alexander),0.870,1.000
2,4:57,2,5,LAR 34,17,14,Jared Goff pass complete short left to Cooper Kupp for 11 yards (tackle by Harrison Smith),1.000,1.930
2,4:30,1,10,LAR 45,17,14,Jared Goff pass complete deep middle to Robert Woods for 36 yards (tackle by Trae Waynes). Penalty on Mackensie Alexander: Defensive Holding (Declined),1.930,4.310
2,3:55,1,10,MIN 19,17,20,"Jared Goff pass complete deep right to Cooper Kupp for 19 yards, touchdown",4.310,7.000
2,3:47,,,MIN 15,17,21,Sam Ficken kicks extra point good,0.000,0.000
2,3:47,,,LAR 35,17,21,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
2,3:47,1,10,MIN 25,17,21,Kirk Cousins pass complete short right to David Morgan for 3 yards (tackle by Ramik Wilson),0.610,0.470
2,3:07,2,7,MIN 28,17,21,Kirk Cousins pass incomplete short left intended for Adam Thielen,0.470,-0.230
2,3:03,3,7,MIN 28,17,21,Kirk Cousins pass complete short left to Adam Thielen for 8 yards,-0.230,1.330
2,2:34,1,10,MIN 36,17,21,Kirk Cousins pass incomplete short right,1.330,0.790
2,2:26,2,10,MIN 36,17,21,"Latavius Murray up the middle for no gain (tackle by John Johnson). Penalty on Pat Elflein: Offensive Holding, 10 yards (no play)",0.790,-0.560
2,2:00,2,20,MIN 26,17,21,Kirk Cousins pass complete short right to Stefon Diggs for -3 yards (tackle by Nickell Robey-Coleman),-0.560,-1.620
2,1:55,,,,,,Timeout #1 by Los Angeles Rams,,
2,1:55,3,23,MIN 23,17,21,Kirk Cousins pass complete short middle to Latavius Murray for 7 yards (tackle by Marqui Christian),-1.620,-1.370
2,1:48,,,,,,Timeout #2 by Los Angeles Rams,,
2,1:48,4,16,MIN 30,17,21,"Matt Wile punts 43 yards, fair catch by Cooper Kupp at LA-27",-1.370,-0.740
2,1:41,1,10,LAR 27,17,21,"Jared Goff pass complete short middle to Cooper Kupp for 11 yards (tackle by Mackensie Alexander). Penalty on Xavier Rhodes: Defensive Holding (Declined) . Penalty on Xavier Rhodes: Unsportsmanlike Conduct, 15 yards",0.740,2.460
2,1:33,1,10,MIN 47,17,27,"Jared Goff pass complete deep middle to Brandin Cooks for 47 yards, touchdown",2.460,7.000
2,1:26,,,MIN 15,17,28,Sam Ficken kicks extra point good,0.000,0.000
2,1:26,,,LAR 35,17,28,"Sam Ficken kicks off 65 yards, touchback.. Penalty on Josh Reynolds: Illegal Formation, 5 yards",0.000,0.940
2,1:26,1,10,MIN 30,17,28,Kirk Cousins pass complete short right to Laquon Treadwell for 6 yards (tackle by Marcus Peters),0.940,1.200
2,1:19,2,4,MIN 36,17,28,Kirk Cousins pass complete short left to Kyle Rudolph for 5 yards (tackle by Marqui Christian and John Johnson),1.200,1.660
2,0:55,1,10,MIN 41,17,28,Kirk Cousins pass complete short left to Stefon Diggs for 14 yards,1.660,2.590
2,0:49,1,10,LAR 45,17,28,Kirk Cousins pass complete short left to Kyle Rudolph for 6 yards (tackle by Sam Shields),2.590,2.850
2,0:43,2,4,LAR 39,17,28,Kirk Cousins pass incomplete deep left intended for Stefon Diggs (defended by Sam Shields),2.850,2.150
2,0:37,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:37,3,4,LAR 39,17,28,Kirk Cousins pass complete short right to Stefon Diggs for 3 yards (tackle by John Johnson and Cory Littleton),2.150,0.890
2,0:30,,,,,,Timeout #1 by Minnesota Vikings,,
2,0:30,4,1,LAR 36,17,28,Kirk Cousins up the middle for 2 yards (tackle by John Johnson),0.890,3.310
2,0:28,,,,,,Timeout #2 by Minnesota Vikings,,
2,0:28,1,10,LAR 34,17,28,Kirk Cousins pass complete short middle to Kyle Rudolph for 13 yards (tackle by Marqui Christian),3.310,4.170
2,0:06,,,,,,Timeout #3 by Minnesota Vikings,,
2,0:06,1,10,LAR 21,20,28,Dan Bailey 39 yard field goal good,4.170,3.000
2,0:02,,,MIN 35,20,28,"Dan Bailey kicks off 40 yards, returned by Robert Woods for no gain",0.000,1.270
Quarter,Time,Down,ToGo,Location,MIN,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,20,28,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAR 25,20,28,Todd Gurley left guard for 9 yards (tackle by Sheldon Richardson),0.610,1.280
3,14:21,2,1,LAR 34,20,28,Todd Gurley right guard for 3 yards (tackle by Danielle Hunter),1.280,1.400
3,13:54,1,10,LAR 37,20,28,Jared Goff pass complete short middle to Cooper Kupp for 27 yards (tackle by Eric Kendricks),1.400,3.180
3,13:09,1,10,MIN 36,20,28,Todd Gurley right end for -1 yards (tackle by Eric Kendricks),3.180,2.500
3,12:29,2,11,MIN 37,20,28,Jared Goff sacked by Danielle Hunter for -9 yards,2.500,0.630
3,11:47,3,20,MIN 46,20,28,Jared Goff pass complete short left to Brandin Cooks for 10 yards (tackle by Danielle Hunter),0.630,0.880
3,11:03,4,10,MIN 36,20,28,Johnny Hekker pass incomplete deep right intended for Josh Reynolds,0.880,-1.330
3,10:54,1,10,MIN 36,20,28,Kirk Cousins pass incomplete short middle intended for Kyle Rudolph (defended by John Johnson),1.330,0.790
3,10:46,2,10,MIN 36,20,28,Kirk Cousins left end for 5 yards (tackle by Ndamukong Suh),0.790,0.760
3,10:00,3,5,MIN 41,20,28,Kirk Cousins pass complete short left to Stefon Diggs for 13 yards (tackle by Lamarcus Joyner),0.760,2.520
3,9:22,1,10,LAR 46,20,28,Latavius Murray up the middle for no gain (tackle by Aaron Donald),2.520,1.980
3,8:42,2,10,LAR 46,20,28,Kirk Cousins pass incomplete short right intended for Adam Thielen (defended by Cory Littleton),1.980,1.290
3,8:34,3,10,LAR 46,20,28,Kirk Cousins pass incomplete deep left intended for Stefon Diggs,1.290,0.200
3,8:26,4,10,LAR 46,20,28,"Matt Wile punts 30 yards, fair catch by Cooper Kupp at LA-16",0.200,0.140
3,8:22,1,10,LAR 16,20,28,Todd Gurley up the middle for 9 yards (tackle by Andrew Sendejo and Linval Joseph),-0.140,0.690
3,7:41,2,1,LAR 25,20,28,Jared Goff pass complete short left to Todd Gurley for 56 yards (tackle by Mike Hughes),0.690,4.310
3,6:48,1,10,MIN 19,20,28,Jared Goff pass complete short right to Cooper Kupp for -5 yards (tackle by Holton Hill),4.310,3.090
3,6:12,2,15,MIN 24,20,28,Jared Goff left end for 8 yards (tackle by Xavier Rhodes),3.090,3.410
3,5:31,3,7,MIN 16,20,28,Jared Goff pass incomplete short left intended for Todd Gurley,3.410,2.380
3,5:26,4,7,MIN 16,20,31,Sam Ficken 34 yard field goal good,2.380,3.000
3,5:21,,,LAR 35,20,31,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
3,5:21,1,10,MIN 25,20,31,Kirk Cousins pass incomplete short right intended for Laquon Treadwell (defended by John Johnson),0.610,0.060
3,5:13,2,10,MIN 25,20,31,Kirk Cousins pass incomplete short middle intended for Stefon Diggs,0.060,-0.620
3,5:08,3,10,MIN 25,20,31,Kirk Cousins pass complete deep middle to Stefon Diggs for 24 yards (tackle by Lamarcus Joyner),-0.620,2.190
3,4:24,1,10,MIN 49,20,31,Kirk Cousins pass complete short right to Stefon Diggs for 6 yards (tackle by Marqui Christian),2.190,2.460
3,3:44,2,4,LAR 45,26,31,"Kirk Cousins pass complete deep middle to Adam Thielen for 45 yards, touchdown",2.460,7.000
3,3:35,,,LAR 2,28,31,"Two Point Attempt: Kirk Cousins pass complete to Latavius Murray, conversion succeeds",0.000,1.000
3,3:35,,,MIN 35,28,31,"Dan Bailey kicks off 66 yards, returned by Blake Countess for no gain (tackle by Roc Thomas and Jayron Kearse)",0.000,0.610
3,3:26,1,10,LAR 25,28,31,Todd Gurley right guard for 8 yards (tackle by Danielle Hunter and Anthony Barr),0.610,1.140
3,3:00,2,2,LAR 33,28,31,Jared Goff pass complete short middle to Robert Woods for 13 yards (tackle by Andrew Sendejo),1.140,1.990
3,2:18,1,10,LAR 46,28,31,Todd Gurley up the middle for 8 yards (tackle by Eric Kendricks),1.990,2.530
3,1:54,2,2,MIN 46,28,31,Jared Goff pass complete short left to Robert Woods for 15 yards (tackle by Andrew Sendejo),2.530,3.510
3,1:15,1,10,MIN 31,28,37,"Jared Goff pass complete deep middle to Robert Woods for 31 yards, touchdown",3.510,7.000
3,1:09,,,MIN 15,28,38,Sam Ficken kicks extra point good,0.000,0.000
3,1:09,,,LAR 35,28,38,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
3,1:09,1,10,MIN 25,28,38,Kirk Cousins pass complete short left to Adam Thielen for 14 yards (tackle by Sam Shields),0.610,1.530
3,0:31,1,10,MIN 39,28,38,Latavius Murray up the middle for 2 yards (tackle by Michael Brockers and John Johnson),1.530,1.260
Quarter,Time,Down,ToGo,Location,MIN,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,MIN 41,28,38,Kirk Cousins sacked by Aaron Donald for -10 yards,1.260,-0.760
4,14:19,3,18,MIN 31,28,38,Kirk Cousins pass incomplete short right intended for Laquon Treadwell,-0.760,-1.310
4,14:11,4,18,MIN 31,28,38,"Matt Wile punts 48 yards, returned by Cooper Kupp for 4 yards (tackle by Jayron Kearse). Penalty on Dominique Hatfield: Illegal Block Above the Waist, 10 yards",-1.310,0.220
4,13:59,1,10,LAR 15,28,38,Todd Gurley up the middle for 1 yard (tackle by Eric Kendricks and Anthony Barr),-0.220,-0.580
4,13:19,2,9,LAR 16,28,38,Jared Goff pass complete deep left to Brandin Cooks for 23 yards,-0.580,1.530
4,12:57,1,10,LAR 39,28,38,Brandin Cooks right end for 10 yards (tackle by Mike Hughes),1.530,2.190
4,12:32,1,10,LAR 49,28,38,Jared Goff pass complete short left to Cooper Kupp for 11 yards (tackle by Eric Kendricks),2.190,2.920
4,11:49,1,10,MIN 40,28,38,Todd Gurley right tackle for 4 yards (tackle by Sheldon Richardson),2.920,2.910
4,11:11,2,6,MIN 36,28,38,Jared Goff pass complete short left to Brandin Cooks for 16 yards,2.910,4.240
4,10:36,1,10,MIN 20,28,38,Jared Goff pass complete short middle to Brandin Cooks for 14 yards (tackle by Andrew Sendejo and Holton Hill),4.240,5.830
4,9:54,1,6,MIN 6,28,38,"Jared Goff pass complete short right to Brandin Cooks for -3 yards (tackle by Mike Hughes). Brandin Cooks fumbles (forced by Mike Hughes), recovered by John Sullivan at MIN-9 (tackle by Sheldon Richardson)",5.830,4.380
4,9:14,2,9,MIN 9,28,38,Todd Gurley right tackle for -1 yards (tackle by Sheldon Richardson),4.380,3.130
4,8:31,3,10,MIN 10,28,38,Jared Goff pass incomplete short middle intended for Cooper Kupp (defended by Jayron Kearse),3.130,2.760
4,8:25,4,10,MIN 10,28,38,Sam Ficken 28 yard field goal no good,2.760,-0.280
4,8:21,1,10,MIN 20,28,38,Kirk Cousins pass complete short left to Adam Thielen for 14 yards (tackle by Marcus Peters),0.280,1.200
4,7:39,1,10,MIN 34,28,38,Kirk Cousins pass complete short right to Mike Boone for 1 yard,1.200,0.790
4,7:00,2,9,MIN 35,28,38,Kirk Cousins pass complete short middle to Latavius Murray for 9 yards (tackle by Marqui Christian and Cory Littleton),0.790,1.860
4,6:25,1,10,MIN 44,28,38,Kirk Cousins pass complete short left to Stefon Diggs for 19 yards (tackle by Cory Littleton and John Johnson),1.860,3.120
4,5:53,1,10,LAR 37,28,38,Kirk Cousins up the middle for 19 yards (tackle by John Johnson),3.120,4.370
4,5:09,1,10,LAR 18,28,38,Roc Thomas left end for 4 yards (tackle by Marcus Peters),4.370,4.430
4,4:39,2,6,LAR 14,28,38,Kirk Cousins pass incomplete short left intended for Roc Thomas (defended by Marqui Christian),4.430,3.630
4,4:34,3,6,LAR 14,28,38,Kirk Cousins sacked by Ndamukong Suh for -8 yards,3.630,1.990
4,3:50,4,14,LAR 22,31,38,Dan Bailey 40 yard field goal good,1.990,3.000
4,3:46,,,MIN 35,31,38,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
4,3:46,1,10,LAR 25,31,38,Todd Gurley left end for 3 yards (tackle by Jayron Kearse),0.610,0.470
4,2:59,2,7,LAR 28,31,38,Jared Goff pass incomplete short middle intended for Todd Gurley,0.470,-0.230
4,2:55,3,7,LAR 28,31,38,Jared Goff pass complete short right to Robert Woods for 6 yards (tackle by Linval Joseph and Sheldon Richardson),-0.230,-1.110
4,2:30,,,,,,Timeout #1 by Minnesota Vikings,,
4,2:30,,,,,,Timeout #1 by Los Angeles Rams,,
4,2:30,4,1,LAR 34,31,38,Johnny Hekker punts 32 yards downed by Blake Countess,-1.110,-1.200
4,2:20,1,10,MIN 34,31,38,Kirk Cousins sacked by Aaron Donald for -8 yards,1.200,-0.420
4,2:00,2,18,MIN 26,31,38,Kirk Cousins pass complete short left to Laquon Treadwell for 9 yards (tackle by Nickell Robey-Coleman),-0.420,0.100
4,1:54,3,9,MIN 35,31,38,Kirk Cousins pass complete short middle to Laquon Treadwell for 13 yards (tackle by John Johnson),0.100,2.130
4,1:29,1,10,MIN 48,31,38,"Kirk Cousins sacked by John Franklin-Myers for -4 yards. Kirk Cousins fumbles (forced by John Franklin-Myers), recovered by Ndamukong Suh at MIN-44 (tackle by Mike Remmers)",2.130,-2.650
4,1:18,1,10,MIN 44,31,38,Todd Gurley left end for 10 yards (tackle by Mike Hughes),2.650,3.310
4,0:31,,,,,,Timeout #2 by Los Angeles Rams,,
4,0:31,1,10,MIN 34,31,38,Jared Goff kneels for -1 yards,3.310,2.640
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
