Unnamed: 0,NYG,DAL
First Downs,18,24
Rush-Yds-TDs,24-113-0,30-101-1
Cmp-Att-Yd-TD-INT,19-28-207-3-1,25-45-227-0-0
Sacked-Yards,2-4,0-0
Net Pass Yards,203,227
Total Yards,316,328
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,4-40,6-50
Third Down Conv.,5-10,10-17
Fourth Down Conv.,0-0,0-0
Time of Possession,23:17,36:43
