Unnamed: 0,NOR,CAR
First Downs,6,28
Rush-Yds-TDs,17-48-1,33-89-1
Cmp-Att-Yd-TD-INT,11-22-111-0-2,26-38-305-2-1
Sacked-Yards,4-31,2-11
Net Pass Yards,80,294
Total Yards,128,383
Fumbles-Lost,0-0,1-0
Turnovers,2,1
Penalties-Yards,11-115,5-49
Third Down Conv.,2-11,8-15
Fourth Down Conv.,0-2,0-0
Time of Possession,21:28,38:32
