Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA
2,9:08,2,19,NOR 34,0,10,Jameis Winston pass complete short right to Alvin Kamara for 3 yards (tackle by Juston Burris and Jermaine Carter),,
2,8:22,3,16,NOR 37,0,10,Jameis Winston pass complete short left to Alvin Kamara for 7 yards (tackle by Donte Jackson),,
2,7:36,4,9,NOR 44,0,10,"Blake Gillikin punts 42 yards, returned by Alex Erickson for 14 yards (tackle by Ty Montgomery and Kaden Elliss)",,
2,7:25,1,10,CAR 28,0,10,Sam Darnold pass complete short right to D.J. Moore for 5 yards (tackle by Paulson Adebo),,
2,6:50,2,5,CAR 33,0,10,Christian McCaffrey right tackle for -1 yards (tackle by Cameron Jordan),,
2,6:04,3,6,CAR 32,0,10,Sam Darnold pass complete short right to D.J. Moore for 16 yards (tackle by Malcolm Jenkins),,
2,5:23,1,10,CAR 48,0,10,Christian McCaffrey left tackle for 16 yards (tackle by Malcolm Jenkins),,
2,4:36,,,,,,Timeout #3 by Carolina Panthers,,
2,4:36,1,10,NOR 36,0,10,Sam Darnold pass complete short right to Ian Thomas for 7 yards (tackle by Demario Davis),,
2,3:49,2,3,NOR 29,0,10,"Penalty on Payton Turner: Neutral Zone Infraction, 4 yards (accepted) (no play)",,
2,3:28,1,10,NOR 25,0,10,Sam Darnold pass incomplete short right intended for Ian Thomas,,
2,3:24,2,10,NOR 25,0,10,"Sam Darnold pass complete deep right to Dan Arnold for 17 yards. Penalty on Paulson Adebo: Illegal Use of Hands / Defense, 5 yards (declined)",,
2,2:53,1,8,NOR 8,0,10,Christian McCaffrey right guard for 6 yards (tackle by Marcus Williams and Malcolm Jenkins),,
2,2:07,2,2,NOR 2,0,10,Christian McCaffrey up the middle for no gain (tackle by Demario Davis),,
2,2:00,3,2,NOR 2,0,16,"Sam Darnold pass complete right to D.J. Moore for 2 yards, touchdown",,
2,1:55,,,NOR 15,0,17,Zane Gonzalez kicks extra point good,,
2,1:55,,,CAR 35,0,17,"Zane Gonzalez kicks off 61 yards, returned by Deonte Harty for 39 yards (tackle by Stantley Thomas-Oliver and Brandon Zylstra)",,
2,1:47,1,10,NOR 43,0,17,"Jameis Winston pass incomplete. Penalty on Jameis Winston: Intentional Grounding, 11 yards (accepted)",,
2,1:32,,,,,,Timeout #2 by New Orleans Saints,,
2,1:32,2,21,NOR 32,0,17,Jameis Winston pass complete short left to Marquez Callaway for 4 yards (tackle by Jeremy Chinn),,
2,0:52,3,17,NOR 36,0,17,Jameis Winston pass complete deep right to Lil'Jordan Humphrey for 27 yards (tackle by Sean Chandler),,
2,0:42,,,,,,Timeout #3 by New Orleans Saints,,
2,0:42,1,10,CAR 37,0,17,Jameis Winston pass incomplete short left intended for Marquez Callaway,,
2,0:38,2,10,CAR 37,0,17,Jameis Winston pass incomplete short right intended for Juwan Johnson,,
2,0:33,3,10,CAR 37,0,17,Jameis Winston pass intended for Deonte Harty is intercepted by Juston Burris at CAR-6 and returned for 17 yards (tackle by Terron Armstead),,
2,0:23,1,10,CAR 23,0,17,"Sam Darnold pass complete short right to Christian McCaffrey for 10 yards (tackle by Zack Baun). Penalty on Zack Baun: Unnecessary Roughness / Defense, 15 yards (accepted)",,
2,0:17,1,10,CAR 48,0,17,Sam Darnold scrambles left end for 7 yards (tackle by P.J. Williams),,
2,0:11,2,2,NOR 45,0,17,Sam Darnold pass complete short right to D.J. Moore for 6 yards (tackle by Paulson Adebo),,
2,0:01,1,10,NOR 39,0,17,"Penalty on Terrace Marshall: False Start, 5 yards (accepted) (no play)",,
Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,0,17,"Zane Gonzalez kicks off 68 yards, returned by Deonte Harty for 28 yards (tackle by Julian Stanford)",,
3,14:55,1,10,NOR 25,0,17,Alvin Kamara right tackle for no gain (tackle by Rashaan Melvin and Shaq Thompson),,
3,14:16,2,10,NOR 25,0,17,Alvin Kamara left tackle for no gain (tackle by Donte Jackson),,
