Quarter,Time,Tm,Detail,OAK,MIN
1.0,11:21,Vikings,Adam Thielen 35 yard pass from Kirk Cousins (Dan Bailey kick),0,7
2.0,14:55,Vikings,Dalvin Cook 1 yard rush (Dan Bailey kick),0,14
,11:06,Vikings,Adam Thielen 1 yard rush (Dan Bailey kick),0,21
,7:26,Raiders,JJ Nelson 29 yard pass from Derek Carr (Daniel Carlson kick),7,21
3.0,7:28,Vikings,Alexander Mattison 10 yard rush (Dan Bailey kick),7,28
4.0,14:55,Vikings,Dan Bailey 50 yard field goal,7,31
,3:45,Vikings,Dan Bailey 24 yard field goal,7,34
,1:23,Raiders,Tyrell Williams 11 yard pass from Derek Carr (Daniel Carlson kick),14,34
