Unnamed: 0,OAK,MIN
First Downs,17,23
Rush-Yds-TDs,20-88-0,38-211-3
Cmp-Att-Yd-TD-INT,27-34-242-2-1,15-21-174-1-0
Sacked-Yards,4-28,0-0
Net Pass Yards,214,174
Total Yards,302,385
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,7-84,6-59
Third Down Conv.,3-11,5-9
Fourth Down Conv.,2-3,0-0
Time of Possession,28:28,31:32
