Quarter,Time,Tm,Detail,PHI,WAS
1.0,6:50,Eagles,Brent Celek 7 yard pass from Michael Vick (Alex Henery kick),7,0
2.0,14:15,Eagles,LeSean McCoy 1 yard rush (Alex Henery kick),14,0
,6:58,Eagles,Alex Henery 28 yard field goal,17,0
,2:27,Eagles,Alex Henery 24 yard field goal,20,0
,0:30,Redskins,Graham Gano 50 yard field goal,20,3
3.0,12:40,Redskins,Graham Gano 26 yard field goal,20,6
4.0,2:44,Redskins,John Beck 2 yard rush (Graham Gano kick),20,13
