Unnamed: 0,PHI,WAS
First Downs,22,17
Rush-Yds-TDs,38-192-1,14-42-1
Cmp-Att-Yd-TD-INT,18-32-237-1-2,17-37-260-0-4
Sacked-Yards,2-7,2-15
Net Pass Yards,230,245
Total Yards,422,287
Fumbles-Lost,0-0,2-0
Turnovers,2,4
Penalties-Yards,8-60,9-75
Third Down Conv.,6-16,1-10
Fourth Down Conv.,1-2,1-1
Time of Possession,38:08,21:52
