Quarter,Time,Down,ToGo,Location,ARI,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LVR 25,0,0,Josh Jacobs up the middle for 7 yards (tackle by Jalen Thompson and Marco Wilson),0.610,1.010
1,14:22,2,3,LVR 32,0,0,Derek Carr sacked by J.J. Watt for -8 yards,1.010,-0.760
1,13:40,3,11,LVR 24,0,0,Derek Carr pass complete deep middle to Mack Hollins for 20 yards (tackle by Jace Whittaker),-0.760,1.860
1,13:02,1,10,LVR 44,0,0,Josh Jacobs up the middle for 6 yards (tackle by Jalen Thompson and Zach Allen),1.860,2.130
1,12:27,2,4,LVR 50,0,0,Josh Jacobs left guard for 3 yards (tackle by Zaven Collins),2.130,1.820
1,11:58,3,1,ARI 47,0,0,Josh Jacobs up the middle for 2 yards (tackle by Budda Baker),1.820,2.590
1,11:17,1,10,ARI 45,0,0,"Penalty on Michael Dogbe: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.590,3.320
1,10:58,1,5,ARI 40,0,0,Josh Jacobs left tackle for no gain (tackle by Rashard Lawrence and Dennis Gardeck),3.320,2.720
1,10:21,2,5,ARI 40,0,0,Josh Jacobs right tackle for 13 yards (tackle by Nick Vigil and Marco Wilson),2.720,3.780
1,9:44,1,10,ARI 27,0,0,Josh Jacobs for no gain (no play),3.780,3.450
1,9:11,1,15,ARI 32,0,0,Derek Carr pass complete short right to Foster Moreau for -6 yards (tackle by Nick Vigil),3.450,1.750
1,8:25,2,21,ARI 38,0,0,Derek Carr pass complete short right to Mack Hollins for 9 yards (tackle by Jace Whittaker),1.750,2.280
1,7:49,3,12,ARI 29,0,0,Derek Carr pass complete deep middle to Mack Hollins for 23 yards (tackle by Budda Baker),2.280,5.830
1,7:06,1,6,ARI 6,0,0,Josh Jacobs up the middle for 2 yards (tackle by Jalen Thompson and Leki Fotu),5.830,5.340
1,6:25,2,4,ARI 4,0,0,Derek Carr pass incomplete short left intended for Mack Hollins,5.340,4.490
1,6:15,3,4,ARI 4,0,0,"Derek Carr pass incomplete short left intended for Darren Waller. Penalty on Jalen Thompson: Defensive Pass Interference, 3 yards (accepted) (no play)",4.490,6.970
1,6:11,1,1,ARI 1,0,0,Josh Jacobs up the middle for no gain (tackle by Jalen Thompson),6.970,5.910
