Quarter,Time,Tm,Detail,ARI,LVR
1,5:22,Raiders,Davante Adams 1 yard pass from Derek Carr (Daniel Carlson kick),0,7
2,11:40,Raiders,Daniel Carlson 32 yard field goal,0,10
,7:00,Raiders,Darren Waller 3 yard pass from Derek Carr (Daniel Carlson kick),0,17
,0:00,Raiders,Daniel Carlson 55 yard field goal,0,20
3,6:03,Cardinals,Greg Dortch 5 yard pass from Kyler Murray (Matt Prater kick),7,20
,1:38,Raiders,Daniel Carlson 25 yard field goal,7,23
4,8:13,Cardinals,Darrel Williams 1 yard rush (Kyler Murray run),15,23
,0:00,Cardinals,Kyler Murray 3 yard rush (A.J. Green pass from Kyler Murray),23,23
OT,3:51,Cardinals,Byron Murphy 59 yard fumble return,29,23
