Unnamed: 0,ARI,LVR
First Downs,28,20
Rush-Yds-TDs,28-143-2,21-80-0
Cmp-Att-Yd-TD-INT,31-49-277-1-1,25-39-252-2-0
Sacked-Yards,1-7,1-8
Net Pass Yards,270,244
Total Yards,413,324
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,12-120,10-68
Third Down Conv.,3-13,6-11
Fourth Down Conv.,3-5,0-0
Time of Possession,36:22,29:47
