Quarter,Time,Tm,Detail,SEA,ARI
1.0,7:56,Cardinals,Neil Rackers 23 yard field goal,0,3
,1:00,Seahawks,Josh Brown 26 yard field goal,3,3
2.0,13:00,Seahawks,Joe Jurevicius 4 yard pass from Matt Hasselbeck (Josh Brown kick),10,3
,6:16,Cardinals,Neil Rackers 31 yard field goal,10,6
,0:39,Seahawks,Matt Hasselbeck 1 yard rush (Josh Brown kick),17,6
3.0,14:40,Seahawks,Shaun Alexander 88 yard rush (Josh Brown kick),24,6
,10:29,Cardinals,Neil Rackers 50 yard field goal,24,9
,6:48,Seahawks,Josh Brown 28 yard field goal,27,9
,0:35,Cardinals,Bryant Johnson 6 yard pass from Kurt Warner (Neil Rackers kick),27,16
4.0,12:09,Cardinals,Neil Rackers 44 yard field goal,27,19
,5:19,Seahawks,Shaun Alexander 14 yard rush (Josh Brown kick failed),33,19
