Quarter,Time,Down,ToGo,Location,OAK,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,DEN 20,0,0,Knowshon Moreno left guard for 1 yard (tackle by John Henderson),0.280,-0.130
1,14:30,2,9,DEN 21,0,0,Kyle Orton pass complete short left to Spencer Larsen for 15 yards (tackle by Quentin Groves),-0.130,1.330
1,13:49,1,10,DEN 36,0,0,Kyle Orton pass complete short right to Brandon Lloyd for 11 yards (tackle by Michael Huff),1.330,2.060
1,13:15,1,10,DEN 47,0,0,Knowshon Moreno left end for 1 yard (tackle by Kamerion Wimbley),2.060,1.650
1,12:35,2,9,DEN 48,0,0,Knowshon Moreno left end for -6 yards (tackle by Kamerion Wimbley),1.650,0.170
1,11:50,,,,0,0,Timeout #1 by Denver Broncos,0.000,0.170
1,11:50,3,15,DEN 42,0,0,Kyle Orton pass complete short middle to Willis McGahee for 12 yards (tackle by Jerome Boyd),0.170,0.200
1,11:09,4,3,OAK 46,0,0,"Britton Colquitt punts 46 yards, touchback. Penalty on Demarcus Van Dyke: Offensive Holding, 10 yards",0.200,0.380
1,11:00,1,10,OAK 10,0,0,"Jason Campbell pass complete short left to Jacoby Ford for 3 yards (tackle by Von Miller). Jacoby Ford fumbles (forced by Von Miller), recovered by Rahim Moore at OAK-15 (tackle by Jacoby Ford)",-0.380,-4.580
1,10:50,1,10,OAK 15,0,0,Kyle Orton pass incomplete short right intended for Julius Thomas,4.580,3.950
1,10:44,2,10,OAK 15,0,0,Kyle Orton pass complete short right to Daniel Fells for 5 yards (tackle by Michael Huff and Lamarr Houston),3.950,4.000
1,10:04,3,5,OAK 10,0,0,Kyle Orton pass incomplete short right intended for Daniel Fells,4.000,2.810
1,9:59,4,5,OAK 10,0,3,Matt Prater 28 yard field goal good,2.810,3.000
1,,,,DEN 35,0,3,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
1,9:55,1,10,OAK 20,0,3,Darren McFadden left end for 9 yards (tackle by Robert Ayers and Von Miller),0.280,0.950
1,9:55,2,1,OAK 29,0,3,Jacoby Ford right end for -3 yards (tackle by Champ Bailey),0.950,-0.160
1,8:38,3,4,OAK 26,0,3,Jason Campbell pass complete short left to Jacoby Ford for 7 yards (tackle by Rahim Moore),-0.160,1.140
1,8:02,1,10,OAK 33,0,3,"Penalty on Stefen Wisniewski: False Start, 5 yards (no play)",1.140,0.810
1,7:37,1,15,OAK 28,0,3,Darren McFadden left tackle for 4 yards (tackle by Von Miller),0.810,0.460
1,6:53,2,11,OAK 32,0,3,Jason Campbell pass complete short right to Brandon Myers for 3 yards (tackle by Champ Bailey),0.460,0.170
1,6:07,3,8,OAK 35,0,3,Jason Campbell pass incomplete short right intended for Darrius Heyward-Bey,0.170,-1.040
1,6:00,4,8,OAK 35,0,3,"Shane Lechler punts 54 yards, returned by Eric Decker for 9 yards (tackle by Jon Condo)",-1.040,-0.280
1,5:48,1,10,DEN 20,0,3,Kyle Orton pass complete short left to Daniel Fells for 11 yards (tackle by Quentin Groves),0.280,1.000
1,5:03,1,10,DEN 31,0,3,"Kyle Orton pass complete short right to Daniel Fells for 2 yards (tackle by Michael Huff). Penalty on J.D. Walton: Offensive Holding, 10 yards (no play)",1.000,0.340
1,4:32,1,20,DEN 21,0,3,Kyle Orton pass incomplete short left intended for Eddie Royal (defended by John Henderson),0.340,-0.890
1,4:27,2,20,DEN 21,0,3,Knowshon Moreno left guard for 5 yards (tackle by Tyvon Branch),-0.890,-0.890
1,3:49,3,15,DEN 26,0,3,Kyle Orton pass complete short middle to Brandon Lloyd for 12 yards (tackle by Chris Johnson),-0.890,-0.850
1,3:11,4,3,DEN 38,0,3,Britton Colquitt punts 4 yards,-0.850,-2.790
1,3:02,1,10,DEN 42,0,3,Darren McFadden up the middle for 5 yards (tackle by Andre' Goodman),2.790,2.920
1,2:47,2,5,DEN 37,0,3,Darren McFadden left guard for 2 yards (tackle by Joe Mays and Brodrick Bunkley),2.920,2.480
1,2:01,3,3,DEN 35,0,3,"Penalty on Stephon Heyer: False Start, 5 yards (no play)",2.480,1.820
1,1:39,3,8,DEN 40,0,3,"Penalty on Stephon Heyer: False Start, 5 yards (no play)",1.820,1.160
1,1:16,3,13,DEN 45,0,3,Darren McFadden up the middle for 20 yards (tackle by Brian Dawkins and Wesley Woodyard),1.160,3.910
1,0:35,1,10,DEN 25,0,3,Marcel Reece left end for 11 yards (tackle by Rahim Moore),3.910,4.650
1,0:08,1,10,DEN 14,0,3,Michael Bush right tackle for 4 yards (tackle by Jason Hunter),4.650,4.710
Quarter,Time,Down,ToGo,Location,OAK,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,DEN 10,0,3,Darren McFadden right end for no gain (tackle by Brodrick Bunkley),4.710,3.820
2,14:16,3,6,DEN 10,0,3,Jason Campbell up the middle for 7 yards (tackle by Champ Bailey),3.820,6.510
2,13:33,,,,0,3,Timeout #2 by Denver Broncos,0.000,6.510
2,13:33,1,3,DEN 3,6,3,"Jason Campbell pass complete short right to Marcel Reece for 3 yards, touchdown",6.510,7.000
2,,,,DEN 2,7,3,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 35,7,3,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
2,13:28,1,10,DEN 20,7,3,"Knowshon Moreno left tackle for 3 yards (tackle by Quentin Groves). Knowshon Moreno fumbles (forced by Quentin Groves), recovered by Tyvon Branch at DEN-23 (tackle by Daniel Fells)",0.280,-4.040
,,,,,,,"OAK challenged the runner was down by contact ruling, and the original play was overturned.",,
2,13:23,1,10,DEN 23,7,3,Darren McFadden left end for -3 yards (tackle by Joe Mays),4.040,3.090
2,12:42,2,13,DEN 26,7,3,Darren McFadden up the middle for no gain (tackle by Brodrick Bunkley),3.090,2.410
2,11:57,3,13,DEN 26,7,3,Jason Campbell pass complete short middle to Brandon Myers for 7 yards (tackle by Brian Dawkins),2.410,2.210
2,11:19,4,6,DEN 19,10,3,Sebastian Janikowski 37 yard field goal good,2.210,3.000
2,,,,OAK 35,10,3,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
2,11:14,1,10,DEN 20,10,3,Willis McGahee right guard for 3 yards (tackle by Kamerion Wimbley),0.280,0.140
2,10:37,2,7,DEN 23,10,3,Kyle Orton pass complete short right to Willis McGahee for -3 yards (tackle by Matt Shaughnessy),0.140,-0.960
2,9:50,3,10,DEN 20,10,3,Kyle Orton right guard for 13 yards (tackle by Michael Huff),-0.960,1.140
2,9:03,1,10,DEN 33,10,3,"Kyle Orton pass complete short right to Willis McGahee for 5 yards (tackle by Rolando McClain). Penalty on Stanford Routt: Defensive Holding, 5 yards (no play)",1.140,1.470
2,8:40,1,10,DEN 38,10,3,Kyle Orton pass incomplete deep left intended for Brandon Lloyd (defended by Stanford Routt),1.470,0.920
2,8:32,2,10,DEN 38,10,3,"Penalty on Chris Kuper: False Start, 5 yards (no play)",0.920,0.250
2,8:32,2,15,DEN 33,10,3,Kyle Orton pass incomplete short right intended for Knowshon Moreno (defended by Jerome Boyd),0.250,-0.430
2,8:26,3,15,DEN 33,10,3,"Kyle Orton pass incomplete short left intended for Daniel Fells. Penalty on Chris Kuper: Offensive Holding (Declined), Penalty on Ryan Clady: Offensive Holding (Declined)",-0.430,-1.180
2,8:20,4,15,DEN 33,10,3,Britton Colquitt punts 65 yards,-1.180,0.380
2,8:05,1,10,OAK 2,10,3,Jason Campbell pass incomplete deep left intended for Darrius Heyward-Bey,-0.380,-0.780
2,7:58,2,10,OAK 2,10,3,Darren McFadden up the middle for no gain (tackle by Joe Mays),-0.780,-1.420
2,7:17,3,10,OAK 2,10,3,Darren McFadden up the middle for 6 yards (tackle by Brian Dawkins),-1.420,-2.490
2,6:42,4,4,OAK 8,10,3,"Shane Lechler punts 65 yards, returned by Eric Decker for 16 yards (tackle by Jerome Boyd). Penalty on Lance Ball: Unnecessary Roughness, 15 yards",-2.490,-0.810
2,6:27,1,10,DEN 28,10,3,Willis McGahee left end for -3 yards (tackle by Quentin Groves),0.810,-0.140
2,5:53,2,13,DEN 25,10,3,"Kyle Orton pass complete short middle to Julius Thomas for 12 yards (tackle by Tyvon Branch). Penalty on J.D. Walton: Offensive Holding, 10 yards (no play)",-0.140,-1.640
2,5:26,2,23,DEN 15,10,3,"Kyle Orton pass incomplete deep left intended for Brandon Lloyd. Penalty on Chris Johnson: Illegal Contact, 5 yards (no play)",-1.640,0.280
2,5:21,1,10,DEN 20,10,3,Kyle Orton pass complete short left to Brandon Lloyd for 16 yards,0.280,1.330
2,5:00,1,10,DEN 36,10,3,"Kyle Orton pass complete short left to Brandon Lloyd for 11 yards (tackle by Chris Johnson). Penalty on Desmond Bryant: Unnecessary Roughness, 15 yards",1.330,3.050
2,4:31,1,10,OAK 38,10,3,Kyle Orton pass incomplete deep middle intended for Eddie Royal,3.050,2.510
2,4:25,2,10,OAK 38,10,3,Kyle Orton pass incomplete short right intended for Eric Decker,2.510,1.820
2,4:22,3,10,OAK 38,10,3,Kyle Orton pass incomplete deep left intended for Brandon Lloyd,1.820,0.720
2,4:17,,,,10,3,Timeout #1 by Oakland Raiders,0.000,0.720
2,4:17,4,10,OAK 38,10,3,Matt Prater 56 yard field goal no good,0.720,-1.990
2,4:12,1,10,OAK 46,10,3,Jason Campbell pass complete short left to Darren McFadden for 6 yards (tackle by Andre' Goodman),1.990,2.260
2,3:47,2,4,DEN 48,10,3,Darren McFadden up the middle for 3 yards (tackle by Mitch Unrein),2.260,1.950
2,3:19,3,1,DEN 45,10,3,Jason Campbell up the middle for 1 yard (tackle by Mitch Unrein),1.950,2.650
2,2:51,1,10,DEN 44,10,3,Darren McFadden left end for 20 yards (tackle by Rahim Moore),2.650,3.970
2,2:20,1,10,DEN 24,10,3,Jason Campbell pass complete short right to Darrius Heyward-Bey for 4 yards (tackle by Champ Bailey),3.970,3.970
2,1:59,2,6,DEN 20,10,3,"Darren McFadden left end for 4 yards (tackle by Wesley Woodyard). Penalty on Robert Ayers: Unnecessary Roughness, 8 yards",3.970,5.370
2,1:59,1,8,DEN 8,10,3,"Penalty on Khalif Barnes: False Start, 5 yards (no play)",5.370,4.530
