Quarter,Time,Tm,Detail,OAK,DEN
1.0,9:55,Broncos,Matt Prater 28 yard field goal,0,3
2.0,13:28,Raiders,Marcel Reece 3 yard pass from Jason Campbell (Sebastian Janikowski kick),7,3
,11:14,Raiders,Sebastian Janikowski 37 yard field goal,10,3
,1:27,Raiders,Sebastian Janikowski 21 yard field goal,13,3
,0:00,Raiders,Sebastian Janikowski 63 yard field goal,16,3
3.0,12:31,Broncos,Eric Decker 90 yard punt return (Matt Prater kick),16,10
,1:55,Broncos,Matt Prater 30 yard field goal,16,13
4.0,12:33,Raiders,Jason Campbell 1 yard rush (Sebastian Janikowski kick),23,13
,3:43,Broncos,Lance Ball 9 yard pass from Kyle Orton (Matt Prater kick),23,20
