Unnamed: 0,OAK,DEN
First Downs,20,25
Rush-Yds-TDs,39-190-1,13-38-0
Cmp-Att-Yd-TD-INT,13-22-105-1-0,24-46-304-1-1
Sacked-Yards,1-6,5-32
Net Pass Yards,99,272
Total Yards,289,310
Fumbles-Lost,2-1,4-2
Turnovers,1,3
Penalties-Yards,15-131,10-91
Third Down Conv.,5-14,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,32:35,27:25
