Unnamed: 0,SFO,DAL
First Downs,26,10
Rush-Yds-TDs,29-125-1,27-110-2
Cmp-Att-Yd-TD-INT,36-55-276-3-0,11-28-147-0-2
Sacked-Yards,1-0,0-0
Net Pass Yards,276,147
Total Yards,401,257
Fumbles-Lost,1-1,0-0
Turnovers,1,2
Penalties-Yards,9-69,4-35
Third Down Conv.,10-20,5-15
Fourth Down Conv.,1-1,0-0
Time of Possession,35:59,24:01
