Quarter,Time,Tm,Detail,SFO,DAL
1.0,6:57,Cowboys,Billy Cundiff 23 yard field goal,0,3
,4:38,Cowboys,Billy Cundiff 37 yard field goal,0,6
2.0,6:05,49ers,Jeff Garcia 21 yard rush (Jeff Chandler kick),7,6
3.0,9:52,49ers,Jeff Chandler 47 yard field goal,10,6
,1:39,Cowboys,Emmitt Smith 5 yard rush (Billy Cundiff kick),10,13
4.0,10:54,49ers,Terrell Owens 3 yard pass from Jeff Garcia (Jeff Chandler kick),17,13
,10:34,Cowboys,Woodrow Dantzler 84 yard kickoff return (Billy Cundiff kick),17,20
,6:56,Cowboys,Emmitt Smith 1 yard rush (Billy Cundiff kick),17,27
,5:26,49ers,Tai Streets 23 yard pass from Jeff Garcia (Jeff Chandler kick),24,27
,0:12,49ers,Terrell Owens 8 yard pass from Jeff Garcia (Jeff Chandler kick),31,27
