Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Kyle Rudolph,MIN,9,9,122,2,4,86,9.6,36,4.0,9.6,0,,0,0.0,0,158.3
Adam Thielen,MIN,6,5,80,0,3,74,14.8,6,1.2,15.7,0,,0,0.0,0,118.7
Dalvin Cook,MIN,3,3,35,0,2,-7,-2.3,42,14.0,-2.3,0,,0,0.0,0,115.3
Stefon Diggs,MIN,6,2,10,1,1,7,3.5,3,1.5,13.3,0,,1,16.7,0,81.9
Latavius Murray,MIN,2,2,6,0,1,4,2.0,2,1.0,2.0,0,,0,0.0,0,79.2
Aldrick Robinson,MIN,2,0,0,0,,0,,0,,25.5,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Kenny Golladay,DET,15,6,58,0,4,36,6.0,22,3.7,13.1,0,,1,6.7,0,51.5
T.J. Jones,DET,6,6,42,0,1,29,4.8,13,2.2,4.8,0,,0,0.0,0,95.8
Theo Riddick,DET,5,4,7,0,1,-14,-3.5,21,5.3,-2.0,0,,0,0.0,0,79.2
LeGarrette Blount,DET,4,2,-5,0,0,-7,-3.5,2,1.0,-2.0,0,,2,50.0,0,56.2
Zach Zenner,DET,3,2,22,0,2,6,3.0,16,8.0,2.3,0,,1,33.3,0,88.2
Andy Jones,DET,5,1,12,0,1,10,10.0,2,2.0,15.6,0,,0,0.0,0,39.6
Brandon Powell,DET,2,1,9,0,,5,5.0,4,4.0,6.5,0,,0,0.0,0,62.5
Levine Toilolo,DET,1,1,16,0,1,3,3.0,13,13.0,3.0,0,,0,0.0,0,118.7
Jerome Cunningham,DET,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6
