Quarter,Time,Tm,Detail,MIN,DET
1.0,7:30,Lions,Matt Prater 47 yard field goal,0,3
2.0,10:39,Lions,Matt Prater 35 yard field goal,0,6
,4:05,Lions,Matt Prater 48 yard field goal,0,9
,1:32,Vikings,Stefon Diggs 8 yard pass from Kirk Cousins (Dan Bailey kick),7,9
,0:00,Vikings,Kyle Rudolph 44 yard pass from Kirk Cousins (Dan Bailey kick),14,9
3.0,8:54,Vikings,Dan Bailey 24 yard field goal,17,9
4.0,13:25,Vikings,Kyle Rudolph 4 yard pass from Kirk Cousins (Dan Bailey kick),24,9
,4:15,Vikings,Dan Bailey 29 yard field goal,27,9
