Unnamed: 0,MIN,DET
First Downs,16,17
Rush-Yds-TDs,28-100-0,23-86-0
Cmp-Att-Yd-TD-INT,21-28-253-3-0,23-43-161-0-0
Sacked-Yards,2-13,3-24
Net Pass Yards,240,137
Total Yards,340,223
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,11-78,7-55
Third Down Conv.,4-13,4-16
Fourth Down Conv.,0-1,1-3
Time of Possession,28:32,31:28
