Unnamed: 0,NYJ,TEN
First Downs,14,17
Rush-Yds-TDs,24-68-0,36-127-1
Cmp-Att-Yd-TD-INT,26-32-264-1-2,12-22-166-0-1
Sacked-Yards,6-36,3-20
Net Pass Yards,228,146
Total Yards,296,273
Fumbles-Lost,3-0,3-1
Turnovers,2,2
Penalties-Yards,4-35,5-39
Third Down Conv.,6-16,7-14
Fourth Down Conv.,1-2,0-0
Time of Possession,30:11,29:49
