Quarter,Time,Tm,Detail,NYJ,TEN
2.0,14:23,Titans,Chris Brown 4 yard rush (Rob Bironas kick),0,7
,10:59,Jets,Jerricho Cotchery 9 yard pass from Chad Pennington (Mike Nugent kick failed),6,7
3.0,6:36,Titans,Rob Bironas 46 yard field goal,6,10
