Quarter,Time,Down,ToGo,Location,NYJ,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"Mike Nugent kicks off 56 yards, returned by Chris J. Henry for 23 yards (tackle by Erik Coleman)",0.000,1.400
1,14:55,1,10,TEN 37,0,0,Vince Young pass complete short right to Ahmard Hall for 11 yards (tackle by Kerry Rhodes),1.400,2.130
1,14:31,1,10,TEN 48,0,0,LenDale White up the middle for 4 yards (tackle by Kenyon Coleman),2.130,2.120
1,13:56,2,6,NYJ 48,0,0,LenDale White left tackle for 11 yards (tackle by Kerry Rhodes),2.120,3.120
1,13:18,1,10,NYJ 37,0,0,LenDale White left guard for 2 yards (tackle by Sione Pouha and David Harris),3.120,2.840
1,12:28,2,8,NYJ 35,0,0,Vince Young pass incomplete deep middle intended for Justin Gage,2.840,2.150
1,12:22,3,8,NYJ 35,0,0,Vince Young sacked by Victor Hobson for -12 yards,2.150,0.130
1,11:59,4,20,NYJ 47,0,0,"Craig Hentrich punts 38 yards, returned by Leon Washington for 15 yards (tackle by Ahmard Hall)",0.130,-0.540
1,11:46,1,10,NYJ 24,0,0,Chad Pennington pass complete short left to Leon Washington for 5 yards (tackle by Eric King),0.540,0.670
1,11:19,2,5,NYJ 29,0,0,Chad Pennington pass complete short left to Brad Smith for no gain,0.670,-0.030
1,10:40,3,5,NYJ 29,0,0,Chad Pennington pass complete short left to Jerricho Cotchery for 22 yards (tackle by Michael Griffin),-0.030,2.320
1,10:27,1,10,TEN 49,0,0,"Thomas Jones right tackle for -10 yards (tackle by Antwan Odom). Thomas Jones fumbles (forced by Antwan Odom), recovered by Thomas Jones at NYJ-41",2.320,0.430
1,9:48,2,20,NYJ 41,0,0,Thomas Jones right guard for 10 yards (tackle by Kyle Vanden Bosch),0.430,1.090
1,9:17,3,10,TEN 49,0,0,Chad Pennington pass complete short right to Justin McCareins for 6 yards (tackle by Reynaldo Hill),1.090,0.400
1,8:40,4,4,TEN 43,0,0,"Jeremy Kapinos punts 43 yards, touchback",0.400,-0.280
1,8:31,1,10,TEN 20,0,0,LenDale White right guard for 14 yards (tackle by Abram Elam),0.280,1.200
1,7:53,1,10,TEN 34,0,0,Vince Young pass incomplete short right intended for Justin Gage (defended by Darrelle Revis),1.200,0.660
1,7:48,2,10,TEN 34,0,0,LenDale White left tackle for 3 yards (tackle by C.J. Mosley and Eric Barton),0.660,0.370
1,7:05,3,7,TEN 37,0,0,Vince Young up the middle for 1 yard (tackle by Victor Hobson and Dewayne Robertson),0.370,-0.850
1,6:27,4,6,TEN 38,0,0,"Craig Hentrich punts 52 yards. Penalty on NYJ: Offensive Holding, 5 yards",-0.850,0.380
1,6:15,1,10,NYJ 5,0,0,Thomas Jones right guard for 5 yards (tackle by Cortland Finnegan and Michael Griffin),-0.380,-0.420
1,5:51,2,5,NYJ 10,0,0,Thomas Jones right guard for 2 yards (tackle by Kyle Vanden Bosch and Albert Haynesworth),-0.420,-0.600
1,5:14,3,3,NYJ 12,0,0,Chad Pennington sacked by Kyle Vanden Bosch for 0 yards,-0.600,-2.490
1,4:43,4,3,NYJ 12,0,0,"Jeremy Kapinos punts 48 yards, returned by Chris Davis for 6 yards (tackle by Jason Trusnik)",-2.490,-1.990
1,4:30,1,10,TEN 46,0,0,Vince Young pass incomplete short middle intended for LenDale White (defended by Sione Pouha),1.990,1.450
1,4:27,2,10,TEN 46,0,0,LenDale White left tackle for 6 yards (tackle by Brad Kassell and Abram Elam),1.450,1.550
1,3:47,3,4,NYJ 48,0,0,Vince Young pass complete short middle to Eric Moulds for 12 yards (tackle by Hank Poteat),1.550,3.180
1,3:11,1,10,NYJ 36,0,0,"Vince Young pass incomplete. Vince Young fumbles, recovered by Vince Young at NYJ-46",3.180,2.640
1,3:04,2,10,NYJ 36,0,0,LenDale White left tackle for 2 yards (tackle by Kenyon Coleman),2.640,2.210
1,2:21,3,8,NYJ 34,0,0,Vince Young pass incomplete short right intended for Eric Moulds,2.210,1.060
1,2:15,4,8,NYJ 34,0,0,"Craig Hentrich punts 34 yards, touchback",1.060,-0.280
1,2:07,1,10,NYJ 20,0,0,Chad Pennington pass incomplete deep right intended for Jerricho Cotchery is intercepted by Reynaldo Hill at NYJ-40,0.280,-2.920
1,2:01,1,10,NYJ 40,0,0,Chris Brown left tackle for no gain (tackle by Sione Pouha and Hank Poteat),2.920,2.370
1,1:25,2,10,NYJ 40,0,0,Chris Brown right tackle for 4 yards (tackle by Eric Barton),2.370,2.210
1,0:43,3,6,NYJ 36,0,0,Vince Young pass complete deep left to Justin Gage for 29 yards (tackle by Hank Poteat),2.210,5.600
Quarter,Time,Down,ToGo,Location,NYJ,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,7,NYJ 7,0,0,Chris Brown up the middle for 3 yards (tackle by Dewayne Robertson and Kenyon Coleman),5.600,5.340
2,14:26,2,4,NYJ 4,0,6,"Chris Brown up the middle for 4 yards, touchdown",5.340,7.000
2,,,,NYJ 2,0,7,Rob Bironas kicks extra point good,0.000,0.000
2,,,,TEN 30,0,7,"Rob Bironas kicks off 67 yards, returned by Leon Washington for 20 yards (tackle by Ben Troupe)",0.000,0.480
2,14:16,1,10,NYJ 23,0,7,Thomas Jones right guard for 2 yards (tackle by David Thornton),0.480,0.200
2,13:38,2,8,NYJ 25,0,7,"Penalty on Kyle Vanden Bosch: Defensive Offside, 5 yards (no play)",0.200,0.880
2,13:26,2,3,NYJ 30,0,7,Thomas Jones up the middle for 8 yards (tackle by Michael Griffin),0.880,1.470
2,12:54,1,10,NYJ 38,0,7,Thomas Jones right guard for 3 yards (tackle by Michael Griffin and David Thornton),1.470,1.330
2,12:23,2,7,NYJ 41,0,7,Chad Pennington pass complete deep left to Jerricho Cotchery for 48 yards (tackle by Cortland Finnegan),1.330,4.840
2,11:52,1,10,TEN 11,0,7,Thomas Jones right guard for 2 yards (tackle by Stephen Tulloch),4.840,4.510
2,11:05,2,8,TEN 9,6,7,"Chad Pennington pass complete short right to Jerricho Cotchery for 9 yards, touchdown",4.510,7.000
2,,,,TEN 2,6,7,Mike Nugent kicks extra point no good,0.000,-1.000
2,,,,NYJ 30,6,7,"Mike Nugent kicks off 70 yards, touchback",0.000,0.280
2,10:59,1,10,TEN 20,6,7,LenDale White right guard for 2 yards (tackle by Sione Pouha),0.280,0.000
2,10:21,2,8,TEN 22,6,7,LenDale White left tackle for 2 yards (tackle by Kenyon Coleman and Mike DeVito),0.000,-0.430
2,9:40,3,6,TEN 24,6,7,Vince Young pass complete short right to Justin Gage for 14 yards (tackle by Darrelle Revis),-0.430,1.470
2,8:55,1,10,TEN 38,6,7,Vince Young pass incomplete deep right intended for Biren Ealy is intercepted by David Barrett at NYJ-31,1.470,-1.000
2,8:49,1,10,NYJ 31,6,7,Chad Pennington pass complete short right to Joe Kowalewski for 5 yards (tackle by Reynaldo Hill),1.000,1.140
2,8:18,2,5,NYJ 36,6,7,Thomas Jones right guard for 4 yards (tackle by Stephen Tulloch and Kyle Vanden Bosch),1.140,0.960
2,7:35,3,1,NYJ 40,6,7,Chad Pennington pass complete short middle to Brad Smith for 29 yards (tackle by Michael Griffin),0.960,3.510
2,7:08,1,10,TEN 31,6,7,Thomas Jones up the middle for 5 yards (tackle by Cortland Finnegan and Kyle Vanden Bosch),3.510,3.640
2,6:26,2,5,TEN 26,6,7,Thomas Jones left guard for 1 yard (tackle by David Thornton and Tony Brown),3.640,3.070
2,5:49,3,4,TEN 25,6,7,Chad Pennington pass complete short middle to Chris Baker for 17 yards (tackle by Michael Griffin),3.070,5.370
2,5:07,1,8,TEN 8,6,7,Thomas Jones left tackle for 1 yard (tackle by Stephen Tulloch and Albert Haynesworth),5.370,4.760
2,4:26,2,7,TEN 7,6,7,"Chad Pennington sacked by Travis LaBoy for -9 yards. Chad Pennington fumbles (forced by Travis LaBoy), recovered by Chad Pennington at TEN-17",4.760,2.740
2,3:49,3,17,TEN 17,6,7,Chad Pennington pass complete short left to Chris Baker for -1 yards (tackle by David Thornton),2.740,2.250
2,3:12,4,18,TEN 18,6,7,"Mike Nugent 36 yard field goal good. Penalty on Tony Brown: Leverage, 9 yards (no play)",2.250,5.140
2,3:08,1,9,TEN 9,6,7,Thomas Jones right tackle for -1 yards (tackle by Eric King and Antwan Odom),5.140,4.190
2,2:32,2,10,TEN 10,6,7,Thomas Jones up the middle for 2 yards (tackle by Tony Brown),4.190,3.580
2,2:00,3,8,TEN 8,6,7,Chad Pennington pass incomplete short left intended for Brad Smith is intercepted by Keith Bulluck,3.580,-0.280
2,1:53,1,10,TEN 20,6,7,Vince Young pass complete short right to Bo Scaife for 12 yards (tackle by Eric Smith),0.280,1.070
2,1:46,1,10,TEN 32,6,7,Vince Young pass complete short left to Roydell Williams for 16 yards (tackle by David Barrett),1.070,2.130
2,1:20,1,10,TEN 48,6,7,"Vince Young sacked by David Harris for -6 yards. Vince Young fumbles (forced by David Harris), recovered by Dewayne Robertson at TEN-45",2.130,-2.590
