Quarter,Time,Tm,Detail,BUF,NYG
1.0,5:20,Giants,Ahmad Bradshaw 1 yard rush (Lawrence Tynes kick),0,7
,5:06,Bills,Fred Jackson 80 yard rush (Rian Lindell kick),7,7
,0:24,Bills,Naaman Roosevelt 60 yard pass from Ryan Fitzpatrick (Rian Lindell kick),14,7
2.0,9:51,Giants,Lawrence Tynes 26 yard field goal,14,10
,2:58,Giants,Ahmad Bradshaw 1 yard rush (Lawrence Tynes kick),14,17
,0:39,Bills,Rian Lindell 49 yard field goal,17,17
3.0,6:53,Giants,Ahmad Bradshaw 1 yard rush (Lawrence Tynes kick),17,24
4.0,8:57,Bills,Stevie Johnson 9 yard pass from Ryan Fitzpatrick (Rian Lindell kick),24,24
,1:32,Giants,Lawrence Tynes 23 yard field goal,24,27
