Quarter,Time,Down,ToGo,Location,BUF,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,Rian Lindell kicks off 60 yards,0.000,1.600
1,15:00,1,10,NYG 40,0,0,"Ahmad Bradshaw right end for 1 yard (tackle by Terrence McGee). Penalty on Bear Pascoe: Offensive Holding, 10 yards",1.600,1.000
1,14:34,1,19,NYG 31,0,0,Ahmad Bradshaw right guard for 3 yards (tackle by Kelvin Sheppard and Danny Batten),1.000,0.240
1,14:04,2,16,NYG 34,0,0,Eli Manning pass complete short left to Mario Manningham for 14 yards (tackle by Drayton Florence),0.240,1.420
1,13:29,3,2,NYG 48,0,0,Ahmad Bradshaw up the middle for 1 yard (tackle by Terrence McGee and Nick Barnett),1.420,-0.130
1,12:53,4,1,NYG 49,0,0,"Steve Weatherford punts 51 yards, touchback",-0.130,-0.280
1,12:44,1,10,BUF 20,0,0,Fred Jackson right tackle for 2 yards (tackle by Mathias Kiwanuka and Chris L. Canty),0.280,0.000
1,12:10,2,8,BUF 22,0,0,Ryan Fitzpatrick pass complete short right to Steve Johnson for 12 yards (tackle by Corey Webster),0.000,1.200
1,11:31,1,10,BUF 34,0,0,Ryan Fitzpatrick pass complete short left to C.J. Spiller for 4 yards (tackle by Antrel Rolle),1.200,1.200
1,10:51,2,6,BUF 38,0,0,Ryan Fitzpatrick up the middle for 1 yard (tackle by Michael Boley),1.200,0.630
1,10:12,3,5,BUF 39,0,0,Ryan Fitzpatrick pass complete short middle to Steve Johnson for 1 yard (tackle by Kenny Phillips),0.630,-0.720
1,9:36,4,4,BUF 40,0,0,"Brian Moorman punts 46 yards, returned by Aaron Ross for 17 yards (tackle by Brad Smith)",-0.720,-1.000
1,9:22,1,10,NYG 31,0,0,Eli Manning pass complete short left to Jake Ballard for 4 yards (tackle by George Wilson),1.000,1.000
1,8:55,2,6,NYG 35,0,0,Ahmad Bradshaw left guard for 3 yards (tackle by Kellen Heard and Dwan Edwards),1.000,0.700
1,8:12,3,3,NYG 38,0,0,Eli Manning pass complete short right to Victor Cruz for 6 yards (tackle by Terrence McGee),0.700,1.860
1,7:38,1,10,NYG 44,0,0,Eli Manning pass complete short middle to Ahmad Bradshaw for 17 yards (tackle by Drayton Florence),1.860,2.980
1,7:05,1,10,BUF 39,0,0,Eli Manning pass incomplete deep left intended for Travis Beckum,2.980,2.440
1,6:54,2,10,BUF 39,0,0,Eli Manning pass complete deep middle to Mario Manningham for 16 yards (tackle by George Wilson),2.440,4.040
1,6:19,1,10,BUF 23,0,0,Ahmad Bradshaw right tackle for -2 yards (tackle by Terrence McGee),4.040,3.230
1,5:41,2,12,BUF 25,0,0,Eli Manning pass complete short middle to Jake Ballard for 24 yards (tackle by George Wilson and Jairus Byrd). Penalty on Kellen Heard: Defensive Offside (Declined),3.230,6.970
1,5:26,1,1,BUF 1,0,6,"Ahmad Bradshaw left tackle for 1 yard, touchdown",6.970,7.000
1,,,,BUF 2,0,7,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,NYG 35,0,7,"Lawrence Tynes kicks off 74 yards, touchback",0.000,0.280
1,5:20,1,10,BUF 20,6,7,"Fred Jackson up the middle for 80 yards, touchdown",0.280,7.000
1,,,,NYG 2,7,7,Rian Lindell kicks extra point good,0.000,0.000
1,,,,BUF 35,7,7,"Rian Lindell kicks off 70 yards, returned by Devin Thomas for 28 yards (tackle by Corey McIntyre)",0.000,0.480
1,5:01,1,10,NYG 23,7,7,Ahmad Bradshaw left end for 1 yard (tackle by Kelvin Sheppard),0.480,0.070
1,4:17,2,9,NYG 24,7,7,Eli Manning pass complete short left to Da'Rel Scott for 4 yards (tackle by Drayton Florence),0.070,-0.100
1,3:32,3,5,NYG 28,7,7,Eli Manning pass incomplete deep right intended for Hakeem Nicks,-0.100,-1.500
1,3:24,4,5,NYG 28,7,7,"Steve Weatherford punts 54 yards, returned by C.J. Spiller for 4 yards (tackle by Michael Coe)",-1.500,-0.410
1,3:13,1,10,BUF 22,7,7,Fred Jackson left end for 7 yards (tackle by Antrel Rolle),0.410,0.810
1,2:42,2,3,BUF 29,7,7,Fred Jackson right end for -1 yards (tackle by Antrel Rolle and Jacquian Williams),0.810,-0.030
1,2:00,3,4,BUF 28,7,7,Ryan Fitzpatrick pass complete short right to Steve Johnson for 8 yards (tackle by Corey Webster),-0.030,1.330
1,1:20,1,10,BUF 36,7,7,Fred Jackson left guard for 4 yards (tackle by Antrel Rolle and Kenny Phillips),1.330,1.330
1,0:44,2,6,BUF 40,7,7,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson,1.330,0.630
1,0:35,3,6,BUF 40,13,7,"Ryan Fitzpatrick pass complete short left to Naaman Roosevelt for 60 yards, touchdown",0.630,7.000
1,,,,NYG 2,14,7,Rian Lindell kicks extra point good,0.000,0.000
1,,,,BUF 35,14,7,"Rian Lindell kicks off 70 yards, returned by Devin Thomas for 21 yards (tackle by Lee Smith). Penalty on Derrick Martin: Illegal Block Above the Waist, 7 yards",0.000,-0.380
1,0:19,1,10,NYG 8,14,7,Eli Manning pass complete short right to Mario Manningham for 5 yards (tackle by Terrence McGee),-0.380,-0.410
Quarter,Time,Down,ToGo,Location,BUF,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,NYG 13,14,7,Eli Manning pass complete short left to Bear Pascoe for 14 yards (tackle by Drayton Florence),-0.410,0.740
2,14:20,1,10,NYG 27,14,7,Eli Manning pass incomplete short right intended for Mario Manningham (defended by Terrence McGee),0.740,0.200
2,14:13,2,10,NYG 27,14,7,Ahmad Bradshaw right tackle for 11 yards (tackle by George Wilson),0.200,1.470
2,13:36,1,10,NYG 38,14,7,Eli Manning pass complete deep middle to Hakeem Nicks for 17 yards (tackle by Drayton Florence),1.470,2.590
2,12:56,1,10,BUF 45,14,7,Eli Manning pass complete short right to Hakeem Nicks for 8 yards (tackle by Terrence McGee),2.590,3.120
2,12:21,2,2,BUF 37,14,7,Ahmad Bradshaw left guard for 4 yards (tackle by Kelvin Sheppard),3.120,3.380
2,11:43,1,10,BUF 33,14,7,Eli Manning pass incomplete deep right intended for Hakeem Nicks,3.380,2.840
2,11:32,2,10,BUF 33,14,7,Ahmad Bradshaw left end for 5 yards (tackle by Marcell Dareus and Arthur Moats),2.840,2.810
2,10:50,3,5,BUF 28,14,7,"Eli Manning pass incomplete deep left intended for Mario Manningham. Penalty on Drayton Florence: Defensive Pass Interference, 19 yards (no play)",2.810,5.140
2,10:44,1,9,BUF 9,14,7,Eli Manning pass incomplete short left intended for Hakeem Nicks,5.140,4.380
2,10:38,2,9,BUF 9,14,7,Ahmad Bradshaw up the middle for 1 yard (tackle by Dwan Edwards and Marcell Dareus),4.380,3.580
2,10:01,3,8,BUF 8,14,7,Eli Manning pass incomplete short middle intended for Jerrel Jernigan,3.580,2.950
2,9:56,4,8,BUF 8,14,10,Lawrence Tynes 26 yard field goal good,2.950,3.000
2,,,,NYG 35,14,10,"Lawrence Tynes kicks off 63 yards, returned by Brad Smith for 21 yards (tackle by Tyler Sash)",0.000,0.480
2,9:46,1,10,BUF 23,14,10,Ryan Fitzpatrick pass complete short right to C.J. Spiller for 5 yards (tackle by Aaron Ross and Michael Boley),0.480,0.610
2,9:10,2,5,BUF 28,14,10,Brad Smith left tackle for 18 yards (tackle by Kenny Phillips and Corey Webster),0.610,1.990
2,8:32,1,10,BUF 46,14,10,Fred Jackson left end for 6 yards (tackle by Greg Jones),1.990,2.260
2,8:04,2,4,NYG 48,14,10,Fred Jackson right tackle for no gain (tackle by Mathias Kiwanuka and Osi Umenyiora),2.260,1.550
2,7:18,3,4,NYG 48,14,10,"Ryan Fitzpatrick pass incomplete deep middle intended for David Nelson (defended by Michael Boley). Penalty on Michael Boley: Defensive Pass Interference, 26 yards (no play)",1.550,4.110
2,7:09,1,10,NYG 22,14,10,"Ryan Fitzpatrick sacked by Mathias Kiwanuka for -6 yards. Ryan Fitzpatrick fumbles (forced by Mathias Kiwanuka), recovered by Erik Pears at NYG-28",4.110,2.750
2,6:23,2,16,NYG 28,14,10,Ryan Fitzpatrick pass incomplete deep right intended for David Nelson,2.750,2.080
2,6:14,3,16,NYG 28,14,10,Ryan Fitzpatrick sacked by Jason Pierre-Paul for -9 yards,2.080,0.790
2,5:41,4,25,NYG 37,14,10,Brian Moorman punts 26 yards,0.790,0.370
2,5:28,1,10,NYG 11,14,10,Ahmad Bradshaw left tackle for 2 yards (tackle by Danny Batten and Dwan Edwards),-0.370,-0.630
2,4:56,2,8,NYG 13,14,10,Eli Manning pass complete short middle to Jake Ballard for 22 yards (tackle by George Wilson),-0.630,1.270
2,4:15,1,10,NYG 35,14,10,Eli Manning pass complete deep left to Hakeem Nicks for 60 yards (tackle by Drayton Florence),1.270,6.060
2,3:40,,,,14,10,Timeout #1 by New York Giants,0.000,6.060
2,3:40,1,5,BUF 5,14,10,DJ Ware left guard for 4 yards (tackle by Dwan Edwards and Jairus Byrd),6.060,5.910
2,3:03,2,1,BUF 1,14,16,"Ahmad Bradshaw left guard for 1 yard, touchdown",5.910,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,,,,BUF 2,14,17,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,NYG 35,14,17,"Lawrence Tynes kicks off 65 yards, touchback",0.000,0.280
2,2:58,1,10,BUF 20,14,17,Ryan Fitzpatrick pass complete short left to C.J. Spiller for 15 yards,0.280,1.270
2,,1,10,BUF 35,14,17,"Ryan Fitzpatrick pass complete short middle to Fred Jackson for 9 yards (tackle by Jacquian Williams). Penalty on Jason Pierre-Paul: Roughing the Passer, 16 yards",1.270,2.920
2,2:10,1,10,NYG 40,14,17,Fred Jackson right guard for 5 yards (tackle by Osi Umenyiora),2.920,3.050
2,2:00,2,5,NYG 35,14,17,Fred Jackson right tackle for 4 yards (tackle by Rocky Bernard and Kenny Phillips),3.050,2.870
2,1:33,3,1,NYG 31,14,17,Fred Jackson right guard for no gain (tackle by Jason Pierre-Paul and Osi Umenyiora),2.870,1.410
2,0:44,,,,14,17,Timeout #1 by Buffalo Bills,0.000,1.410
2,0:44,4,1,NYG 31,17,17,Rian Lindell 49 yard field goal good,1.410,3.000
2,,,,BUF 35,17,17,"Rian Lindell kicks off 64 yards, returned by Devin Thomas for 20 yards (tackle by Corey McIntyre)",0.000,0.340
2,0:34,1,10,NYG 21,17,17,Ahmad Bradshaw left tackle for 9 yards (tackle by Nick Barnett and Spencer Johnson),0.340,1.020
2,0:30,,,,17,17,Timeout #2 by New York Giants,0.000,1.020
2,0:30,2,1,NYG 30,17,17,Eli Manning pass incomplete deep right intended for Victor Cruz,1.020,0.300
2,0:26,3,1,NYG 30,17,17,Ahmad Bradshaw right tackle for 1 yard (tackle by Arthur Moats),0.300,1.000
Quarter,Time,Down,ToGo,Location,BUF,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,17,17,"Lawrence Tynes kicks off 67 yards, touchback",0.000,0.280
3,15:00,1,10,BUF 20,17,17,Fred Jackson right guard for 1 yard (tackle by Michael Boley),0.280,-0.130
3,14:29,2,9,BUF 21,17,17,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson (defended by Corey Webster),-0.130,-0.820
3,14:22,3,9,BUF 21,17,17,Ryan Fitzpatrick pass complete short left to David Nelson for 14 yards (tackle by Justin Tryon),-0.820,1.270
3,13:44,1,10,BUF 35,17,17,Brad Smith right end for 4 yards (tackle by Deon Grant),1.270,1.260
3,13:10,2,6,BUF 39,17,17,Ryan Fitzpatrick pass complete short middle to Scott Chandler for -3 yards (tackle by Michael Boley and Linval Joseph),1.260,0.170
3,12:17,3,9,BUF 36,17,17,Ryan Fitzpatrick pass incomplete short right intended for Fred Jackson (defended by Jacquian Williams),0.170,-0.980
3,12:09,4,9,BUF 36,17,17,"Brian Moorman punts 64 yards, touchback. Penalty on Justin Rogers: Illegal Motion, 5 yards",-0.980,-0.610
3,12:00,1,10,NYG 25,17,17,Ahmad Bradshaw right end for 3 yards (tackle by Dwan Edwards and Danny Batten),0.610,0.470
3,11:26,2,7,NYG 28,17,17,Ahmad Bradshaw right end for 2 yards (tackle by Spencer Johnson),0.470,0.040
3,10:40,3,5,NYG 30,17,17,Eli Manning pass complete short left to Jake Ballard for 20 yards (tackle by Drayton Florence and Bryan Scott),0.040,2.260
3,10:02,1,10,,17,17,Ahmad Bradshaw left guard for 4 yards (tackle by Terrence McGee),2.260,2.250
3,9:28,2,6,BUF 46,17,17,Eli Manning pass complete short middle to Jake Ballard for 11 yards (tackle by Terrence McGee),2.250,3.250
3,8:51,1,10,BUF 35,17,17,Eli Manning pass complete short right to Mario Manningham for 15 yards (tackle by Terrence McGee),3.250,4.240
3,8:28,1,10,BUF 20,17,17,Eli Manning pass complete short right to Hakeem Nicks for 11 yards (tackle by Jairus Byrd),4.240,5.140
3,7:52,1,9,BUF 9,17,17,Ahmad Bradshaw right tackle for 2 yards (tackle by Marcell Dareus and Kellen Heard),5.140,4.760
3,7:18,2,7,BUF 7,17,17,Eli Manning pass complete short right to Mario Manningham for 6 yards (tackle by Alex Carrington and George Wilson),4.760,5.170
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned.",,
3,6:59,3,1,BUF 1,17,23,"Ahmad Bradshaw right tackle for 1 yard, touchdown",5.170,7.000
3,,,,BUF 2,17,24,Lawrence Tynes kicks extra point good,0.000,0.000
3,,,,NYG 35,17,24,"Lawrence Tynes kicks off 65 yards, touchback",0.000,0.280
3,6:53,1,10,BUF 20,17,24,Ryan Fitzpatrick pass complete short left to Fred Jackson for 5 yards (tackle by Michael Boley and Linval Joseph),0.280,0.410
3,6:21,2,5,BUF 25,17,24,Fred Jackson left tackle for 1 yard (tackle by Mathias Kiwanuka and Linval Joseph),0.410,-0.160
