Unnamed: 0,BUF,NYG
First Downs,17,24
Rush-Yds-TDs,23-155-1,33-122-3
Cmp-Att-Yd-TD-INT,21-30-244-2-2,21-32-292-0-0
Sacked-Yards,3-25,0-0
Net Pass Yards,219,292
Total Yards,374,414
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,7-75,7-79
Third Down Conv.,5-11,5-11
Fourth Down Conv.,1-2,0-0
Time of Possession,29:13,30:47
