Unnamed: 0,DAL,NYG
First Downs,23,20
Rush-Yds-TDs,22-51-1,25-143-2
Cmp-Att-Yd-TD-INT,27-44-387-4-0,24-41-301-2-1
Sacked-Yards,4-19,1-3
Net Pass Yards,368,298
Total Yards,419,441
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,6-46,11-78
Third Down Conv.,11-17,7-15
Fourth Down Conv.,2-2,2-3
Time of Possession,30:52,29:08
