Unnamed: 0,KAN,OAK
First Downs,15,27
Rush-Yds-TDs,22-89-2,24-99-1
Cmp-Att-Yd-TD-INT,16-22-162-2-0,31-48-283-2-3
Sacked-Yards,4-19,4-21
Net Pass Yards,143,262
Total Yards,232,361
Fumbles-Lost,3-2,3-0
Turnovers,2,3
Penalties-Yards,11-88,4-21
Third Down Conv.,3-8,6-14
Fourth Down Conv.,0-0,0-2
Time of Possession,25:32,34:28
