Quarter,Time,Tm,Detail,KAN,OAK
1.0,10:25,Raiders,Latavius Murray 2 yard rush (Sebastian Janikowski kick),0,7
,4:58,Chiefs,Alex Smith 3 yard rush (Cairo Santos kick),7,7
2.0,0:13,Raiders,Michael Crabtree 25 yard pass from Derek Carr (Sebastian Janikowski kick),7,14
3.0,9:16,Chiefs,Spencer Ware 10 yard rush (Cairo Santos kick),14,14
,2:12,Raiders,Lee Smith 5 yard pass from Derek Carr (Sebastian Janikowski kick failed),14,20
4.0,11:17,Chiefs,Jeremy Maclin 1 yard pass from Alex Smith (pass failed),20,20
,7:57,Chiefs,Jeremy Maclin 13 yard pass from Alex Smith (Cairo Santos kick failed),26,20
,3:14,Chiefs,Tyvon Branch 38 yard interception return (Travis Kelce pass from Alex Smith),34,20
