Quarter,Time,Tm,Detail,CLE,IND
1.0,7:23,Colts,Andrew Luck 3 yard rush (Adam Vinatieri kick),0,7
2.0,14:01,Browns,Greg Little 14 yard pass from Brandon Weeden (Phil Dawson kick failed),6,7
,7:41,Colts,Andrew Luck 5 yard rush (Adam Vinatieri kick),6,14
3.0,11:53,Browns,Josh Gordon 33 yard pass from Brandon Weeden (Phil Dawson kick),13,14
,3:19,Colts,Adam Vinatieri 38 yard field goal,13,17
