Unnamed: 0,CLE,IND
First Downs,19,21
Rush-Yds-TDs,17-55-0,37-148-2
Cmp-Att-Yd-TD-INT,25-41-264-2-0,16-29-186-0-0
Sacked-Yards,0-0,3-13
Net Pass Yards,264,173
Total Yards,319,321
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,9-75,7-50
Third Down Conv.,6-13,6-15
Fourth Down Conv.,0-1,1-1
Time of Possession,24:39,35:21
