Unnamed: 0,IND,TEN
First Downs,22,18
Rush-Yds-TDs,26-100-0,19-109-0
Cmp-Att-Yd-TD-INT,20-27-264-4-0,28-37-220-1-1
Sacked-Yards,0-0,2-16
Net Pass Yards,264,204
Total Yards,364,313
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,1-10,9-76
Third Down Conv.,7-10,5-13
Fourth Down Conv.,0-0,3-3
Time of Possession,25:48,34:12
