Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Rob Bironas kicks off 68 yards, returned by Ran Carthon for 20 yards (tackle by Reynaldo Hill). Ran Carthon fumbles (forced by Reynaldo Hill), recovered by Darrell Reid at IND-19",0.000,0.150
1,14:53,1,10,IND 19,0,0,Peyton Manning pass complete to Dallas Clark for 9 yards (tackle by Keith Bulluck and Peter Sirmon),0.150,0.880
1,14:22,2,1,IND 28,0,0,Edgerrin James left end for 8 yards (tackle by Adam Jones),0.880,1.330
1,13:58,1,10,IND 36,0,0,Peyton Manning pass complete to Bryan Fletcher for 23 yards (tackle by Brad Kassell),1.330,2.850
1,13:27,1,10,TEN 41,0,0,Edgerrin James right end for 5 yards (tackle by Andre Woolfolk and Keith Bulluck),2.850,2.980
1,12:55,2,5,TEN 36,0,0,Edgerrin James left tackle for 4 yards (tackle by Peter Sirmon),2.980,2.810
1,12:16,3,1,TEN 32,0,0,Peyton Manning pass complete to Marvin Harrison for 7 yards (tackle by Peter Sirmon and Andre Woolfolk),2.810,3.910
1,11:37,1,10,TEN 25,6,0,"Peyton Manning pass complete to Reggie Wayne for 25 yards, touchdown",3.910,7.000
1,,,,TEN 2,7,0,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,IND 30,7,0,"Dave Rayner kicks off 58 yards, returned by Adam Jones for 27 yards (tackle by Jason David)",0.000,1.530
1,11:25,1,10,TEN 39,7,0,Steve McNair pass complete to Erron Kinney for 3 yards (tackle by David Thornton),1.530,1.390
1,10:54,2,7,TEN 42,7,0,Steve McNair pass complete to Erron Kinney for no gain,1.390,0.700
1,10:15,3,7,TEN 42,7,0,Steve McNair pass complete to Ben Troupe for 8 yards (tackle by Marlin Jackson),0.700,2.260
1,9:28,1,10,TEN 50,7,0,Steve McNair pass complete to Ben Troupe for 16 yards (tackle by Nick Harper),2.260,3.310
1,8:49,1,10,IND 34,7,0,Chris Brown up the middle for 3 yards (tackle by David Thornton),3.310,3.180
1,8:11,2,7,IND 31,7,0,Chris Brown left tackle for 2 yards (tackle by Mike Doss),3.180,2.740
1,7:29,3,5,IND 29,7,0,Steve McNair pass complete to Bo Scaife for 5 yards (tackle by Cato June and Bob Sanders),2.740,3.970
1,6:34,1,10,IND 24,7,0,Steve McNair pass incomplete intended for Drew Bennett (defended by Gary Brackett),3.970,3.430
1,6:30,2,10,IND 24,7,0,Chris Brown right tackle for 6 yards (tackle by Bob Sanders),3.430,3.570
1,5:46,3,4,IND 18,7,0,Steve McNair pass complete to Brandon Jones for 2 yards (tackle by Jason David),3.570,2.500
1,5:03,4,2,IND 16,7,3,Rob Bironas 34 yard field goal good,2.500,3.000
1,,,,TEN 30,7,3,"Rob Bironas kicks off 75 yards, touchback",0.000,0.280
1,4:58,1,10,IND 20,7,3,Edgerrin James up the middle for 4 yards (tackle by Antwan Odom),0.280,0.270
1,4:31,2,6,IND 24,7,3,Peyton Manning pass complete to Marvin Harrison for 2 yards (tackle by Andre Woolfolk),0.270,-0.160
1,3:56,3,4,IND 26,7,3,Peyton Manning pass incomplete intended for Bryan Fletcher,-0.160,-1.630
1,3:51,4,4,IND 26,7,3,"Hunter Smith punts 55 yards, returned by Andrae Thurman for 5 yards (tackle by Robert Mathis). Penalty on Lamont Thompson: Offensive Holding, 10 yards, Penalty on Adam Jones: Low Block (Declined)",-1.630,0.380
1,3:35,1,10,TEN 10,7,3,"Penalty on Michael Roos: False Start, 5 yards (no play)",-0.380,-0.570
1,3:35,1,15,TEN 5,7,3,Chris Brown up the middle for 5 yards (tackle by Bob Sanders),-0.570,-0.780
1,2:54,2,10,TEN 10,7,3,Chris Brown left guard for 8 yards (tackle by Bob Sanders),-0.780,-0.480
1,2:12,3,2,TEN 18,7,3,Steve McNair right end for 8 yards (tackle by Gary Brackett),-0.480,0.670
1,1:39,1,10,TEN 26,7,3,Steve McNair pass complete to Bo Scaife for 5 yards (tackle by Gary Brackett),0.670,0.810
1,1:00,2,5,TEN 31,7,3,Chris Brown right guard for 4 yards (tackle by Montae Reagor and Larry Tripplett),0.810,0.630
1,0:17,3,1,TEN 35,7,3,"Penalty on Brad Hopkins: False Start, 5 yards (no play)",0.630,-0.030
Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,TEN 30,7,3,Steve McNair pass complete to Troy Fleming for 4 yards (tackle by Jason David),-0.030,-1.110
2,14:24,4,2,TEN 34,7,3,"Craig Hentrich punts 39 yards, fair catch by Troy Walters. Penalty on Michael Waddell: Interference with Opport, 16 yards",-1.110,-1.800
2,14:13,1,10,IND 43,7,3,Peyton Manning pass complete to Marvin Harrison for 15 yards (tackle by Lamont Thompson),1.800,2.790
2,13:41,1,10,TEN 42,7,3,Edgerrin James right guard for 9 yards (tackle by Adam Jones),2.790,3.460
2,13:07,2,1,TEN 33,7,3,"Edgerrin James right end for 9 yards (tackle by Andre Woolfolk). Penalty on Jeff Saturday: Tripping, 10 yards (no play)",3.460,2.110
2,12:35,2,11,TEN 43,7,3,"Peyton Manning pass incomplete intended for Edgerrin James. Penalty on Adam Jones: Illegal Contact, 5 yards (no play)",2.110,3.050
