Quarter,Time,Tm,Detail,IND,TEN
1.0,11:31,Colts,Reggie Wayne 25 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
,4:58,Titans,Rob Bironas 34 yard field goal,7,3
2.0,7:17,Colts,Mike Vanderjagt 20 yard field goal,10,3
,1:17,Colts,Marvin Harrison 11 yard pass from Peyton Manning (Mike Vanderjagt kick),17,3
3.0,7:55,Colts,Edgerrin James 8 yard pass from Peyton Manning (Mike Vanderjagt kick),24,3
4.0,13:09,Colts,Marvin Harrison 24 yard pass from Peyton Manning (Mike Vanderjagt kick),31,3
,4:31,Titans,Bo Scaife 6 yard pass from Steve McNair (Rob Bironas kick),31,10
