Quarter,Time,Down,ToGo,Location,IND,MIA,Detail,EPB,EPA
1,1:14,3,4,IND 40,0,3,Jacoby Brissett pass complete short right to Will Fuller for 6 yards (tackle by Andrew Sendejo and Bobby Okereke),,
1,0:34,1,10,IND 34,0,3,Salvon Ahmed up the middle for 4 yards (tackle by Shaquille Leonard and Zaire Franklin),,
Quarter,Time,Down,ToGo,Location,IND,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,IND 30,0,3,Salvon Ahmed left tackle for -1 yards (tackle by Al-Quadin Muhammad and Grover Stewart),,
2,14:16,3,7,IND 31,0,3,Jacoby Brissett sacked by Kemoko Turay for -6 yards,,
2,13:43,4,13,IND 37,0,3,"Penalty on MIA: Delay of Game, 5 yards (accepted) (no play)",,
2,13:19,4,18,IND 42,0,3,Michael Palardy punts 41 yards downed by Mack Hollins,,
2,13:10,1,10,IND 1,0,3,Jonathan Taylor left guard for 2 yards (tackle by Christian Wilkins),,
2,12:26,2,8,IND 3,0,3,Carson Wentz right end for 10 yards (tackle by Andrew Van Ginkel),,
2,11:40,1,10,IND 13,0,3,Carson Wentz pass complete short middle to Jonathan Taylor for 7 yards (tackle by Brennan Scarlett and Jerome Baker),,
2,10:56,2,3,IND 20,0,3,"Jonathan Taylor left tackle for no gain (tackle by Eric Rowe). Penalty on Zach Pascal: Offensive Holding, 10 yards (accepted) (no play)",,
2,9:45,2,13,IND 10,0,3,Carson Wentz pass complete short left to Michael Pittman for 6 yards (tackle by Elandon Roberts),,
2,9:29,3,7,IND 16,0,3,Carson Wentz sacked by and Samuel Eguavoen for -9 yards and Jaelan Phillips for -9 yards,,
2,8:57,4,16,IND 7,0,3,"Rigoberto Sanchez punts 57 yards, returned by Jakeem Grant for 14 yards (tackle by Zaire Franklin)",,
2,8:47,1,10,MIA 50,0,3,Malcolm Brown right tackle for 4 yards (tackle by Isaac Rochell),,
2,8:16,2,6,IND 46,0,3,Jacoby Brissett pass incomplete short right intended for DeVante Parker,,
2,8:11,3,6,IND 46,0,3,Jacoby Brissett pass incomplete short right intended for Will Fuller,,
2,8:08,4,6,IND 46,0,3,"Michael Palardy punts 46 yards, touchback.",,
2,8:01,1,10,IND 20,0,3,Marlon Mack left end for 1 yard (tackle by Elandon Roberts),,
2,7:16,2,9,IND 21,0,3,Carson Wentz pass incomplete short middle intended for Kylen Granson (defended by Nik Needham),,
2,7:11,3,9,IND 21,0,3,Carson Wentz pass complete short left to Parris Campbell for 12 yards (tackle by Jerome Baker),,
2,6:32,1,10,IND 33,0,3,Carson Wentz pass complete short right to Marlon Mack for 1 yard (tackle by Eric Rowe),,
2,6:06,2,9,IND 34,0,3,Marlon Mack up the middle for 1 yard (tackle by Jaelan Phillips),,
2,5:24,3,8,IND 35,0,3,Carson Wentz pass complete short middle to Michael Pittman for 5 yards (tackle by Byron Jones),,
2,4:46,4,3,IND 40,0,3,"Rigoberto Sanchez punts out of bounds. Penalty on Brennan Scarlett: Defensive Offside, 5 yards (accepted) (no play)",,
2,4:37,1,10,IND 45,0,3,Carson Wentz pass complete short right to Zach Pascal for 4 yards (tackle by Eric Rowe and Xavien Howard),,
2,3:51,2,7,IND 49,0,3,Carson Wentz pass complete deep left to Mo Alie-Cox for 28 yards (tackle by Jason McCourty and Elandon Roberts),,
2,3:01,1,10,MIA 23,0,3,Carson Wentz pass incomplete deep left intended for Mo Alie-Cox (defended by Andrew Van Ginkel),,
2,2:54,2,10,MIA 23,6,3,"Jonathan Taylor left tackle for 23 yards, touchdown",,
2,2:47,,,MIA 15,7,3,Rodrigo Blankenship kicks extra point good,,
2,2:47,,,IND 35,7,3,"Rigoberto Sanchez kicks off 65 yards, touchback.",,
2,2:47,1,10,MIA 25,7,3,Jacoby Brissett pass complete short right to Durham Smythe for 4 yards (tackle by Kenny Moore and Bobby Okereke),,
2,2:00,2,6,MIA 29,7,3,Jacoby Brissett pass incomplete short right intended for DeVante Parker,,
2,1:55,3,6,MIA 29,7,3,Jacoby Brissett pass incomplete short right intended for Mike Gesicki (defended by Shaquille Leonard),,
2,1:50,4,6,MIA 29,7,3,"Michael Palardy punts 53 yards, fair catch by Nyheim Hines at IND-18",,
2,1:43,1,10,IND 18,7,3,Carson Wentz pass complete short left to Michael Pittman for 6 yards (tackle by Xavien Howard),,
2,1:36,,,,,,Timeout #1 by Indianapolis Colts,,
2,1:36,2,4,IND 24,7,3,Carson Wentz pass incomplete deep left intended for Michael Pittman (defended by Byron Jones),,
2,1:30,3,4,IND 24,7,3,Carson Wentz pass complete short middle to Nyheim Hines for 3 yards (tackle by Samuel Eguavoen),,
2,1:25,,,,,,Timeout #1 by Miami Dolphins,,
2,1:25,,,,,,Timeout #2 by Miami Dolphins,,
2,1:25,4,1,IND 27,7,3,Carson Wentz left guard for 2 yards (tackle by Christian Wilkins),,
2,1:09,1,10,IND 29,7,3,Carson Wentz pass complete short middle to Nyheim Hines for 2 yards (tackle by Jason McCourty),,
2,0:39,2,8,IND 31,7,3,Carson Wentz pass incomplete deep right intended for Parris Campbell (defended by Xavien Howard),,
2,0:31,3,8,IND 31,7,3,Carson Wentz pass complete short right to Jonathan Taylor for 3 yards (tackle by Nik Needham),,
2,0:25,,,,,,Timeout #3 by Miami Dolphins,,
2,0:25,4,5,IND 34,7,3,Rigoberto Sanchez punts 37 yards out of bounds,,
2,0:19,1,10,MIA 29,7,3,Jacoby Brissett sacked by Kemoko Turay for -8 yards,,
Quarter,Time,Down,ToGo,Location,IND,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,7,3,"Jason Sanders kicks off 62 yards, returned by Isaiah Rodgers for 23 yards (tackle by Andrew Van Ginkel). Penalty on Zach Pascal: Offensive Holding, 10 yards (accepted)",,
3,14:54,1,10,IND 16,7,3,Jonathan Taylor left end for 38 yards (tackle by Nik Needham),,
3,14:02,1,10,MIA 46,7,3,Jonathan Taylor left guard for 1 yard (tackle by Christian Wilkins and Emmanuel Ogbah),,
3,13:36,2,9,MIA 45,7,3,Carson Wentz pass complete deep middle to Ashton Dulin for 17 yards (tackle by Xavien Howard),,
3,12:53,1,10,MIA 28,7,3,Jonathan Taylor left guard for 6 yards (tackle by Elandon Roberts),,
3,12:13,2,4,MIA 22,7,3,Jonathan Taylor left guard for 9 yards (tackle by Eric Rowe),,
3,11:30,1,10,MIA 13,7,3,Nyheim Hines left end for -1 yards (tackle by Christian Wilkins),,
3,10:41,2,11,MIA 14,7,3,Carson Wentz pass incomplete short right intended for Mo Alie-Cox,,
3,10:34,3,11,MIA 14,7,3,"Penalty on Jaelan Phillips: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
3,10:34,3,6,MIA 9,7,3,Carson Wentz pass complete short middle to Michael Pittman for 8 yards (tackle by Justin Coleman and Eric Rowe),,
3,9:35,1,1,MIA 1,7,3,Carson Wentz pass complete short middle to Zach Pascal for -2 yards (tackle by Justin Coleman),,
3,9:16,2,3,MIA 3,7,3,Jonathan Taylor right guard for no gain (tackle by Christian Wilkins and John Jenkins),,
3,8:33,3,3,MIA 3,13,3,"Carson Wentz pass complete short right to Mo Alie-Cox for 3 yards, touchdown",,
3,8:29,,,MIA 15,14,3,Rodrigo Blankenship kicks extra point good,,
3,8:29,,,IND 35,14,3,"Rigoberto Sanchez kicks off 65 yards, touchback.",,
3,8:29,1,10,MIA 25,14,3,Malcolm Brown left guard for 3 yards (tackle by Tyquan Lewis),,
3,7:51,2,7,MIA 28,14,3,Jacoby Brissett pass complete short middle to Jakeem Grant for -7 yards (tackle by Tyquan Lewis),,
3,7:12,3,14,MIA 21,14,3,Jacoby Brissett pass complete short left to Albert Wilson for 11 yards (tackle by Bobby Okereke and Shaquille Leonard),,
3,6:27,4,3,MIA 32,14,3,"Michael Palardy punts 56 yards, returned by Nyheim Hines for -1 yards (tackle by Elijah Campbell and Blake Ferguson)",,
3,6:16,1,10,IND 11,14,3,Marlon Mack right end for 12 yards (tackle by Elandon Roberts),,
3,5:41,1,10,IND 23,14,3,Marlon Mack right end for -5 yards (tackle by Andrew Van Ginkel),,
3,4:56,2,15,IND 18,14,3,Carson Wentz pass incomplete short right intended for Marlon Mack (defended by Jerome Baker),,
3,4:50,3,15,IND 18,14,3,Carson Wentz pass complete short right to Michael Pittman for 14 yards (tackle by Xavien Howard),,
3,4:01,4,1,IND 32,14,3,"Rigoberto Sanchez punts 50 yards, recovered by Ashton Dulin at MIA-18",,
3,3:53,1,10,MIA 18,14,3,Jonathan Taylor left guard for 6 yards (tackle by Justin Coleman),,
3,3:14,2,4,MIA 12,14,3,"Jonathan Taylor right end for no gain (tackle by Jerome Baker). Penalty on Ryan Kelly: Offensive Holding, 10 yards (accepted) (no play)",,
3,2:42,2,14,MIA 22,14,3,"Penalty on Eric Fisher: False Start, 5 yards (accepted) (no play)",,
3,2:26,2,19,MIA 27,14,3,Carson Wentz pass complete short middle to Parris Campbell for 10 yards (tackle by Eric Rowe and Jason McCourty),,
3,1:40,3,9,MIA 17,14,3,Carson Wentz pass complete short right to Zach Pascal for 1 yard (tackle by Nik Needham),,
3,0:57,4,8,MIA 16,17,3,Rodrigo Blankenship 34 yard field goal good,,
3,0:54,,,IND 35,17,3,"Rigoberto Sanchez kicks off 65 yards, touchback.",,
3,0:54,1,10,MIA 25,17,3,Jacoby Brissett pass incomplete short right intended for Jaylen Waddle,,
3,0:50,2,10,MIA 25,17,3,Jacoby Brissett pass complete short left to Mike Gesicki for 8 yards (tackle by Xavier Rhodes),,
3,0:17,3,2,MIA 33,17,3,Jacoby Brissett pass complete short left to DeVante Parker for 7 yards (tackle by Xavier Rhodes),,
Quarter,Time,Down,ToGo,Location,IND,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIA 40,17,3,"Jacoby Brissett sacked by Grover Stewart for -17 yards. Jacoby Brissett fumbles (forced by Grover Stewart), recovered by Shaquille Leonard at MIA-23 and returned for 10 yards (tackle by Greg Mancz). Penalty on Shaquille Leonard: Face Mask (15 Yards), 15 yards (accepted)",,
4,14:47,1,10,MIA 30,17,3,Jonathan Taylor up the middle for 2 yards (tackle by Brennan Scarlett and Zach Sieler),,
4,14:35,2,8,MIA 28,17,3,Carson Wentz pass complete short right to Kylen Granson for 3 yards (tackle by Xavien Howard),,
4,13:26,3,5,MIA 25,17,3,Carson Wentz pass incomplete short right intended for Zach Pascal,,
4,13:22,4,5,MIA 25,20,3,Rodrigo Blankenship 43 yard field goal good,,
4,13:17,,,IND 35,20,3,"Rigoberto Sanchez kicks off 65 yards, touchback.",,
4,13:17,1,10,MIA 25,20,3,Jacoby Brissett pass complete short right to Mike Gesicki for 4 yards (tackle by Isaiah Rodgers),,
4,12:56,2,6,MIA 29,20,3,Jacoby Brissett pass complete deep left to Mike Gesicki for 22 yards (tackle by Shaquille Leonard and Julian Blackmon),,
4,12:31,1,10,IND 49,20,3,"Jacoby Brissett pass incomplete deep left intended for DeVante Parker. Penalty on Xavier Rhodes: Defensive Pass Interference, 21 yards (accepted) . Penalty on Al-Quadin Muhammad: Illegal Use of Hands / Defense, 5 yards (declined) (no play)",,
4,12:24,1,10,IND 28,20,3,Jacoby Brissett pass incomplete short left intended for DeVante Parker,,
4,12:20,2,10,IND 28,20,3,"Jacoby Brissett pass complete deep left to DeVante Parker for 25 yards (tackle by Xavier Rhodes). Penalty on Xavier Rhodes: Defensive Pass Interference, 15 yards (declined)",,
4,12:08,1,3,IND 3,20,3,Malcolm Brown right guard for 2 yards (tackle by Julian Blackmon),,
4,11:50,2,1,IND 1,20,3,Jacoby Brissett up the middle for no gain (tackle by Shaquille Leonard),,
4,11:25,3,1,IND 1,20,3,Malcolm Brown left guard for no gain (tackle by Andrew Sendejo and Bobby Okereke),,
4,10:48,4,1,IND 1,20,9,"Jacoby Brissett pass complete short left to Mike Gesicki for 1 yard, touchdown",,
4,10:40,,,IND 15,20,10,Jason Sanders kicks extra point good,,
4,10:40,,,MIA 35,20,10,"Jason Sanders kicks off 61 yards, out of bounds",,
4,10:40,1,10,IND 40,20,10,Carson Wentz pass complete deep left to Zach Pascal for 41 yards (tackle by Jason McCourty),,
4,9:55,1,10,MIA 19,20,10,Jonathan Taylor left guard for 4 yards (tackle by Emmanuel Ogbah),,
4,9:10,2,6,MIA 15,20,10,Nyheim Hines left end for 7 yards (tackle by Eric Rowe),,
4,8:33,1,8,MIA 8,20,10,"Carson Wentz pass incomplete short left intended for Nyheim Hines. Penalty on Michael Pittman: Offensive Pass Interference, 10 yards (accepted) (no play)",,
4,8:29,1,18,MIA 18,20,10,Jonathan Taylor left end for 5 yards (tackle by John Jenkins),,
4,7:49,2,13,MIA 13,20,10,Jonathan Taylor left guard for no gain (tackle by John Jenkins and Andrew Van Ginkel),,
4,7:01,3,13,MIA 13,20,10,"Carson Wentz sacked by Emmanuel Ogbah for no gain. Penalty on Jaelan Phillips: Face Mask (15 Yards), 7 yards (accepted) (no play)",,
4,6:27,1,6,MIA 6,20,10,Carson Wentz pass incomplete short middle intended for Michael Pittman,,
4,6:25,2,6,MIA 6,20,10,Jonathan Taylor left end for -5 yards (tackle by Christian Wilkins and Jason McCourty),,
4,6:20,,,,,,Timeout #1 by Miami Dolphins,,
4,6:20,3,11,MIA 11,26,10,"Carson Wentz pass complete short left to Mo Alie-Cox for 11 yards, touchdown",,
4,6:15,,,MIA 15,27,10,Rodrigo Blankenship kicks extra point good,,
4,6:15,,,IND 35,27,10,"Rigoberto Sanchez kicks off 65 yards, touchback.",,
4,6:15,1,10,MIA 25,27,10,Jacoby Brissett pass complete deep right to DeVante Parker for 42 yards (tackle by Isaiah Rodgers),,
4,5:39,1,10,IND 33,27,10,Jacoby Brissett pass complete deep middle to Mike Gesicki for 22 yards (tackle by Andrew Sendejo),,
4,5:20,1,10,IND 11,27,10,Jacoby Brissett pass complete short right to Malcolm Brown for 4 yards (tackle by Isaiah Rodgers),,
4,4:56,2,6,IND 7,27,10,Malcolm Brown up the middle for 4 yards (tackle by DeForest Buckner and Bobby Okereke),,
4,4:37,3,2,IND 3,27,10,Jacoby Brissett pass incomplete short right intended for DeVante Parker,,
4,4:31,4,2,IND 3,27,16,"Jacoby Brissett pass complete short middle to DeVante Parker for 3 yards, touchdown Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,4:24,,,IND 15,27,17,Jason Sanders kicks extra point good,,
4,4:24,,,MIA 35,27,17,"Jason Sanders kicks onside 25 yards,",,
4,4:23,1,10,IND 40,27,17,Marlon Mack left end for 6 yards (tackle by Jason McCourty and Eric Rowe),,
4,4:20,,,,,,Timeout #2 by Miami Dolphins,,
4,4:20,2,4,IND 46,27,17,Marlon Mack right tackle for no gain (tackle by John Jenkins),,
4,4:16,,,,,,Timeout #3 by Miami Dolphins,,
4,4:16,3,4,IND 46,27,17,"Carson Wentz pass complete deep left to Jack Doyle for 24 yards (tackle by Nik Needham). Penalty on Nik Needham: Defensive Pass Interference, 15 yards (declined)",,
4,4:10,1,10,MIA 30,27,17,Marlon Mack left end for -3 yards (tackle by Andrew Van Ginkel),,
4,3:24,2,13,MIA 33,27,17,"Marlon Mack up the middle for -1 yards (tackle by Jason McCourty and John Jenkins). Penalty on Eric Fisher: Offensive Holding, 10 yards (declined)",,
4,3:18,,,,,,Timeout #1 by Indianapolis Colts,,
4,3:18,3,14,MIA 34,27,17,Carson Wentz pass complete deep right to Michael Pittman for 20 yards (tackle by Nik Needham),,
4,2:32,1,10,MIA 14,27,17,Marlon Mack up the middle for 1 yard (tackle by John Jenkins and Christian Wilkins),,
4,2:00,2,9,MIA 13,27,17,Marlon Mack left guard for 10 yards (tackle by Nik Needham and Jason McCourty),,
4,1:45,,,,,,Timeout #2 by Indianapolis Colts,,
4,1:45,1,3,MIA 3,27,17,Carson Wentz kneels for -2 yards,,
4,1:03,2,5,MIA 5,27,17,Carson Wentz kneels for -1 yards,,
4,0:36,3,6,MIA 6,27,17,Carson Wentz kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
