Unnamed: 0,IND,MIA
First Downs,20,13
Rush-Yds-TDs,33-139-1,16-35-0
Cmp-Att-Yd-TD-INT,24-32-228-2-0,20-30-199-2-0
Sacked-Yards,2-18,3-31
Net Pass Yards,210,168
Total Yards,349,203
Fumbles-Lost,1-1,3-2
Turnovers,1,2
Penalties-Yards,8-86,5-32
Third Down Conv.,6-15,3-11
Fourth Down Conv.,1-1,2-2
Time of Possession,37:09,22:51
