Quarter,Time,Tm,Detail,IND,MIA
1.0,9:54,Dolphins,Jason Sanders 38 yard field goal,0,3
2.0,2:47,Colts,Jonathan Taylor 23 yard rush (Rodrigo Blankenship kick),7,3
3.0,8:29,Colts,Mo Alie-Cox 3 yard pass from Carson Wentz (Rodrigo Blankenship kick),14,3
,0:54,Colts,Rodrigo Blankenship 34 yard field goal,17,3
4.0,13:17,Colts,Rodrigo Blankenship 43 yard field goal,20,3
,10:40,Dolphins,Mike Gesicki 1 yard pass from Jacoby Brissett (Jason Sanders kick),20,10
,6:15,Colts,Mo Alie-Cox 11 yard pass from Carson Wentz (Rodrigo Blankenship kick),27,10
,4:24,Dolphins,DeVante Parker 3 yard pass from Jacoby Brissett (Jason Sanders kick),27,17
