Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Michael Pittman Jr.,IND,8,6,59,0,2,48,8.0,11,1.8,10.3,0,,0,0.0,0,95.3
Zach Pascal,IND,5,4,44,0,1,22,5.5,22,5.5,5.6,1,4.0,0,0.0,0,103.3
Mo Alie-Cox,IND,5,3,42,2,3,32,10.7,10,3.3,12.2,0,,0,0.0,0,126.7
Jonathan Taylor,IND,3,3,11,0,0,-6,-2.0,17,5.7,-2.0,1,3.0,0,0.0,0,81.9
Nyheim Hines,IND,2,2,5,0,0,2,1.0,3,1.5,1.0,0,,0,0.0,0,79.2
Parris Campbell,IND,3,2,22,0,1,19,9.5,3,1.5,18.3,0,,0,0.0,0,88.2
Ashton Dulin,IND,1,1,17,0,1,16,16.0,1,1.0,16.0,0,,0,0.0,0,118.7
Kylen Granson,IND,2,1,3,0,,2,2.0,1,1.0,2.5,0,,0,0.0,0,56.2
Marlon Mack,IND,2,1,1,0,0,0,0.0,1,1.0,7.5,0,,0,0.0,0,56.2
Jack Doyle,IND,1,1,24,0,1,24,24.0,0,0.0,24.0,0,,0,0.0,0,118.7
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Mike Gesicki,MIA,6,5,57,1,3,47,9.4,10,2.0,9.5,0,,0,0.0,0,145.8
DeVante Parker,MIA,9,4,77,1,4,70,17.5,7,1.8,12.8,0,,2,22.2,0,111.8
Jaylen Waddle,MIA,4,3,33,0,2,13,4.3,20,6.7,4.5,2,1.5,0,0.0,0,99.0
Salvon Ahmed,MIA,2,2,12,0,,4,2.0,8,4.0,2.0,0,,0,0.0,0,91.7
Durham Smythe,MIA,2,2,6,0,,-1,-0.5,7,3.5,-0.5,0,,0,0.0,0,79.2
Will Fuller,MIA,2,1,6,0,1,4,4.0,2,2.0,5.0,1,1.0,0,0.0,0,56.2
Jakeem Grant,MIA,1,1,-7,0,,-4,-4.0,-3,-3.0,-4.0,0,,0,0.0,0,79.2
Malcolm Brown,MIA,1,1,4,0,,0,0.0,4,4.0,0.0,0,,0,0.0,0,83.3
Albert Wilson,MIA,2,1,11,0,,7,7.0,4,4.0,10.0,1,1.0,0,0.0,0,66.7
Adam Shaheen,MIA,1,0,0,0,,0,,0,,11.0,0,,0,0.0,0,39.6
