Quarter,Time,Tm,Detail,BUF,NWE
1.0,4:20,Patriots,Adam Vinatieri 27 yard field goal,0,3
2.0,10:35,Patriots,Adam Vinatieri 24 yard field goal,0,6
,3:56,Patriots,David Patten 13 yard pass from Tom Brady (Adam Vinatieri kick),0,13
,0:35,Patriots,Christian Fauria 5 yard pass from Tom Brady (Adam Vinatieri kick),0,20
3.0,9:08,Patriots,Adam Vinatieri 20 yard field goal,0,23
,2:33,Bills,Jonathan Smith 70 yard punt return (run failed),6,23
4.0,14:55,Patriots,Adam Vinatieri 45 yard field goal,6,26
,4:40,Patriots,Adam Vinatieri 37 yard field goal,6,29
