Quarter,Time,Tm,Detail,ARI,NWE
1.0,12:09,Cardinals,Kenyan Drake 1 yard rush (Zane Gonzalez kick),7,0
,1:49,Cardinals,Zane Gonzalez 47 yard field goal,10,0
2.0,14:15,Patriots,James White 7 yard rush (Nick Folk kick),10,7
3.0,7:46,Patriots,Nick Folk 22 yard field goal,10,10
,3:30,Patriots,James White 1 yard rush (Nick Folk kick),10,17
4.0,8:02,Cardinals,Kenyan Drake 1 yard rush (Zane Gonzalez kick),17,17
,0:00,Patriots,Nick Folk 50 yard field goal,17,20
