Unnamed: 0,ARI,NWE
First Downs,23,16
Rush-Yds-TDs,34-138-2,30-110-2
Cmp-Att-Yd-TD-INT,23-34-170-0-1,9-18-84-0-2
Sacked-Yards,2-10,3-15
Net Pass Yards,160,69
Total Yards,298,179
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,6-50,6-42
Third Down Conv.,6-14,4-11
Fourth Down Conv.,0-1,1-1
Time of Possession,34:08,25:52
