Quarter,Time,Tm,Detail,NYJ,MIA
2.0,5:17,Dolphins,Jason Sanders 37 yard field goal,0,3
,1:35,Jets,Greg Zuerlein 32 yard field goal,3,3
3.0,5:18,Dolphins,Jason Sanders 37 yard field goal,3,6
4.0,11:59,Jets,Greg Zuerlein 35 yard field goal,6,6
,0:18,Dolphins,Jason Sanders 50 yard field goal,6,9
,0:00,Dolphins,Safety,6,11
