Unnamed: 0,MIA,ARI
First Downs,17,22
Rush-Yds-TDs,24-72-1,31-81-1
Cmp-Att-Yd-TD-INT,17-32-179-0-0,20-26-376-3-0
Sacked-Yards,2-15,2-12
Net Pass Yards,164,364
Total Yards,236,445
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,6-42,8-45
Third Down Conv.,3-12,7-13
Fourth Down Conv.,2-2,0-0
Time of Possession,28:06,31:54
