Quarter,Time,Down,ToGo,Location,CAR,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Graham Gano kicks off 54 yards, returned by Ameer Abdullah for 16 yards (tackle by Carter Coughlin and Elijhaa Penny)",,
1,14:56,1,10,CAR 27,0,0,Sam Darnold pass complete short right to Robbie Anderson for 4 yards (tackle by Xavier McKinney and Lorenzo Carter),,
1,14:18,2,6,CAR 31,0,0,Chuba Hubbard left guard for 3 yards (tackle by Dexter Lawrence),,
1,13:55,3,3,CAR 34,0,0,Sam Darnold pass complete short right to Chuba Hubbard for 2 yards (tackle by Xavier McKinney),,
1,13:22,4,1,CAR 36,0,0,Chuba Hubbard right tackle for 2 yards (tackle by Tae Crowder),,
1,12:55,1,10,CAR 38,0,0,Chuba Hubbard right end for 6 yards (tackle by Logan Ryan and Azeez Ojulari),,
1,12:33,2,4,CAR 44,0,0,Chuba Hubbard right tackle for 13 yards (tackle by Xavier McKinney),,
1,11:55,1,10,NYG 43,0,0,Royce Freeman left tackle for 7 yards (tackle by Adoree' Jackson and Xavier McKinney),,
1,11:17,2,3,NYG 36,0,0,Shi Smith left end for -3 yards (tackle by Quincy Roche),,
1,10:37,3,6,NYG 39,0,0,Sam Darnold pass complete short middle to Tommy Tremble for 9 yards (tackle by Adoree' Jackson and Tae Crowder),,
1,9:59,1,10,NYG 30,0,0,Sam Darnold pass incomplete short left intended for D.J. Moore,,
1,9:53,2,10,NYG 30,0,0,Chuba Hubbard right guard for 2 yards (tackle by Leonard Williams and Austin Johnson),,
1,9:07,3,8,NYG 28,0,0,Sam Darnold pass complete short right to Royce Freeman for 1 yard (tackle by Logan Ryan),,
1,8:42,4,7,NYG 27,3,0,Zane Gonzalez 45 yard field goal good,,
1,8:37,,,CAR 35,3,0,"Zane Gonzalez kicks off 65 yards, touchback.",,
1,8:37,1,10,NYG 25,3,0,Daniel Jones right end for 14 yards (tackle by Jeremy Chinn),,
1,8:02,1,10,NYG 39,3,0,Daniel Jones pass complete short right to Darius Slayton for 15 yards (tackle by Keith Taylor),,
1,7:28,1,10,CAR 46,3,0,Devontae Booker left tackle for -1 yards (tackle by Brian Burns and Yetur Gross-Matos),,
1,6:56,2,11,CAR 47,3,0,Daniel Jones pass complete short left to Evan Engram for -2 yards (tackle by Jeremy Chinn),,
1,6:15,3,13,CAR 49,3,0,"Penalty on Will Hernandez: False Start, 5 yards (accepted) (no play)",,
1,5:53,3,18,NYG 46,3,0,Daniel Jones pass complete short right to Evan Engram for 6 yards (tackle by Jermaine Carter and Kenny Robinson),,
1,5:16,4,12,CAR 48,3,0,"Riley Dixon punts 36 yards, fair catch by Alex Erickson at CAR-12",,
1,5:07,1,10,CAR 12,3,0,Chuba Hubbard left tackle for -2 yards (tackle by Austin Johnson and Lorenzo Carter),,
1,4:40,2,12,CAR 10,3,0,Sam Darnold pass complete short left to Tommy Tremble for 3 yards (tackle by Adoree' Jackson),,
1,3:59,3,9,CAR 13,3,0,Sam Darnold pass incomplete short right intended for Robbie Anderson,,
1,3:53,4,9,CAR 13,3,0,Ryan Winslow punts 28 yards downed by Sam Franklin,,
1,3:43,1,10,CAR 41,3,0,Daniel Jones pass complete short right to Evan Engram for 18 yards (tackle by C.J. Henderson),,
1,3:17,1,10,CAR 23,3,0,Devontae Booker left guard for 7 yards (tackle by Jermaine Carter and Jeremy Chinn),,
1,2:56,2,3,CAR 16,3,0,Devontae Booker right guard for 2 yards (tackle by Morgan Fox and Daviyon Nixon),,
1,2:20,3,1,CAR 14,3,0,Elijhaa Penny up the middle for 2 yards (tackle by Brian Burns),,
1,1:50,1,10,CAR 12,3,0,"Daniel Jones pass complete to Kyle Rudolph for 7 yards (tackle by Clay Johnston). Penalty on Clay Johnston: Unnecessary Roughness / Defense, 3 yards (accepted)",,
1,1:29,1,2,CAR 2,3,0,"Daniel Jones pass complete to Kyle Rudolph for no gain, touchdown Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Daniel Jones pass complete short right to Kyle Rudolph for 1 yard (tackle by A.J. Bouye)",,
1,1:22,2,1,CAR 1,3,0,Devontae Booker up the middle for no gain (tackle by Jermaine Carter and Jeremy Chinn),,
1,0:48,3,1,CAR 1,3,0,Daniel Jones pass incomplete short right intended for Evan Engram,,
1,0:42,4,1,CAR 1,3,0,Devontae Booker right guard for -1 yards (tackle by Sam Franklin),,
1,0:36,1,10,CAR 2,3,0,"Penalty on Ian Thomas: False Start, 1 yard (accepted) (no play)",,
1,0:36,1,11,CAR 1,3,0,Chuba Hubbard up the middle for 2 yards (tackle by Tae Crowder and Leonard Williams),,
Quarter,Time,Down,ToGo,Location,CAR,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,CAR 3,3,0,Sam Darnold pass incomplete short middle intended for Chuba Hubbard,,
2,14:56,3,9,CAR 3,3,2,"Sam Darnold pass incomplete short middle. Penalty on Sam Darnold: Intentional Grounding, 3 yards (accepted)",,
2,14:53,,,CAR 20,3,2,"Ryan Winslow kicks off 66 yards, returned by Darnay Holmes for 23 yards (tackle by Kamal Martin)",,
2,14:47,1,10,NYG 37,3,2,Devontae Booker right tackle for 1 yard (tackle by Haason Reddick and Daviyon Nixon),,
